,变电站名称,区域,子区域,x,y,容量（kVA）,相数
48,IDT48,GSO,industrial,593831.31,3993105.69,25.0,1
49,IDT49,GSO,industrial,594598.08,3993000.51,500.0,3
50,IDT50,GSO,industrial,594663.24,3992975.98,500.0,3
51,IDT51,GSO,industrial,593947.99,3993548.36,50.0,1
52,IDT52,GSO,industrial,594058.86,3993619.44,100.0,3
53,IDT53,GSO,industrial,594478.49,3993446.65,75.0,3
54,IDT54,GSO,industrial,593565.19,3993682.82,500.0,3
55,IDT55,GSO,industrial,593600.23,3992985.75,300.0,3
56,IDT56,GSO,industrial,593498.95,3992928.75,25.0,1
57,IDT57,GSO,industrial,593707.91,3992934.43,100.0,3
58,IDT58,GSO,industrial,593537.32,3993087.93,500.0,3
59,IDT59,GSO,industrial,592806.83,3993467.53,25.0,1
60,IDT60,GSO,industrial,593664.64,3993068.05,75.0,3
61,IDT61,GSO,industrial,597058.57,3991367.43,50.0,1
62,IDT62,GSO,industrial,596999.66,3991364.63,50.0,1
63,IDT63,GSO,industrial,597522.01,3991077.48,75.0,1
64,IDT64,GSO,industrial,597505.8,3991086.05,75.0,1
65,IDT65,GSO,industrial,597472.23,3991091.12,75.0,1
66,IDT66,GSO,industrial,597443.13,3991089.61,50.0,1
67,IDT67,GSO,industrial,597550.8,3991011.93,75.0,1
68,IDT68,GSO,industrial,597583.52,3991055.74,50.0,1
69,IDT69,GSO,industrial,597705.34,3991075.2,50.0,1
70,IDT70,GSO,industrial,597665.29,3991122.22,25.0,1
71,IDT71,GSO,industrial,597639.11,3991117.43,50.0,1
72,IDT72,GSO,industrial,597616.51,3991107.2,25.0,1
73,IDT73,GSO,industrial,597591.26,3991106.47,50.0,1
74,IDT74,GSO,industrial,597433.43,3991089.11,75.0,1
75,IDT75,GSO,industrial,597375.24,3991086.09,75.0,1
76,IDT76,GSO,industrial,597375.24,3991086.09,75.0,1
77,IDT77,GSO,industrial,597394.64,3991087.1,50.0,1
78,IDT78,GSO,industrial,597391.02,3990990.1,25.0,1
79,IDT79,GSO,industrial,597402.32,3991005.05,75.0,1
80,IDT80,GSO,industrial,597394.24,3990941.89,75.0,1
81,IDT81,GSO,industrial,597404.9,3990921.77,50.0,1
82,IDT82,GSO,industrial,597460.18,3990954.27,50.0,1
83,IDT83,GSO,industrial,597461.02,3990973.19,50.0,1
84,IDT84,GSO,industrial,597461.02,3990973.19,50.0,1
85,IDT85,GSO,industrial,597472.57,3991011.11,25.0,1
86,IDT86,GSO,industrial,597531.6,3991011.63,75.0,1
87,IDT87,GSO,industrial,597648.17,3991027.36,50.0,1
88,IDT88,GSO,industrial,597608.41,3991012.81,75.0,1
89,IDT89,GSO,industrial,597712.23,3991015.63,50.0,1
90,IDT90,GSO,industrial,597705.8,3991022.86,75.0,1
91,IDT91,GSO,industrial,597599.6,3990645.46,50.0,1
92,IDT92,GSO,industrial,597584.56,3990645.83,50.0,1
93,IDT93,GSO,industrial,597636.83,3990635.65,50.0,1
94,IDT94,GSO,industrial,597636.83,3990635.65,50.0,1
95,IDT95,GSO,industrial,597642.14,3990627.58,75.0,3
96,IDT96,GSO,industrial,597647.35,3990667.07,75.0,3
97,IDT97,GSO,industrial,597637.67,3990656.68,75.0,3
98,IDT98,GSO,industrial,597599.6,3990645.46,75.0,3
99,IDT99,GSO,industrial,597688.18,3990702.96,50.0,1
100,IDT100,GSO,industrial,597707.38,3990730.93,75.0,3
101,IDT101,GSO,industrial,597644.64,3990707.53,50.0,1
102,IDT102,GSO,industrial,597617.37,3990748.02,50.0,1
103,IDT103,GSO,industrial,597573.71,3990727.85,50.0,1
104,IDT104,GSO,industrial,597614.42,3990739.18,75.0,3
105,IDT105,GSO,industrial,597548.94,3990738.23,75.0,1
106,IDT106,GSO,industrial,597531.17,3990744.63,50.0,1
107,IDT107,GSO,industrial,597522.53,3990747.36,50.0,1
108,IDT108,GSO,industrial,597487.02,3990748.08,75.0,3
109,IDT109,GSO,industrial,597709.33,3990735.88,75.0,1
110,IDT110,GSO,industrial,597635.07,3990801.09,50.0,1
111,IDT111,GSO,industrial,597740.71,3990745.89,75.0,3
112,IDT112,GSO,industrial,597669.87,3990853.56,75.0,1
113,IDT113,GSO,industrial,597714.56,3990878.36,75.0,1
114,IDT114,GSO,industrial,597659.43,3990844.05,50.0,1
115,IDT115,GSO,industrial,597650.53,3990846.16,75.0,1
116,IDT116,GSO,industrial,597626.22,3990774.56,50.0,1
117,IDT117,GSO,industrial,597635.07,3990801.09,50.0,1
118,IDT118,GSO,industrial,597554.36,3990793.31,75.0,1
119,IDT119,GSO,industrial,597497.98,3990776.16,75.0,1
120,IDT120,GSO,industrial,597521.08,3990805.26,50.0,1
121,IDT121,GSO,industrial,597407.41,3990784.95,25.0,1
122,IDT122,GSO,industrial,597424.38,3990752.04,25.0,1
123,IDT123,GSO,industrial,597430.1,3990829.45,75.0,1
124,IDT124,GSO,industrial,597511.91,3990803.38,50.0,1
125,IDT125,GSO,industrial,597428.49,3990843.86,50.0,1
126,IDT126,GSO,industrial,597576.82,3990871.77,50.0,1
127,IDT127,GSO,industrial,597562.43,3990874.16,50.0,1
128,IDT128,GSO,industrial,597535.49,3990881.85,50.0,1
129,IDT129,GSO,industrial,597414.61,3990844.4,50.0,1
130,IDT130,GSO,industrial,597420.19,3990913.01,50.0,1
131,IDT131,GSO,industrial,597454.79,3990930.53,50.0,1
132,IDT132,GSO,industrial,597519.54,3990894.99,50.0,1
133,IDT133,GSO,industrial,597530.02,3990932.71,75.0,1
134,IDT134,GSO,industrial,597583.67,3990897.85,75.0,1
135,IDT135,GSO,industrial,597613.94,3990952.17,50.0,1
136,IDT136,GSO,industrial,597650.65,3990866.46,50.0,1
137,IDT137,GSO,industrial,597648.46,3990923.96,75.0,1
138,IDT138,GSO,industrial,597662.93,3990904.6,25.0,1
139,IDT139,GSO,industrial,597705.33,3990876.61,50.0,1
140,IDT140,GSO,industrial,597705.36,3990951.09,25.0,1
141,IDT141,GSO,industrial,595142.26,3989485.21,25.0,1
142,IDT142,GSO,industrial,595113.56,3989436.05,25.0,1
143,IDT143,GSO,industrial,593478.22,3989151.06,50.0,1
144,IDT144,GSO,industrial,593478.05,3989111.51,50.0,1
145,IDT145,GSO,industrial,593477.92,3989082.12,75.0,1
146,IDT146,GSO,industrial,595082.89,3996346.6,25.0,1
147,IDT147,GSO,industrial,593734.93,3997273.63,50.0,1
148,IDT148,GSO,industrial,593680.21,3997281.3,75.0,1
149,IDT149,GSO,industrial,593594.99,3997280.38,75.0,1
150,IDT150,GSO,industrial,593557.12,3997279.98,75.0,1
151,IDT151,GSO,industrial,595321.71,3988907.06,100.0,3
152,IDT152,GSO,industrial,594972.49,3988924.27,75.0,1
153,IDT153,GSO,industrial,597146.92,3991371.62,50.0,1
154,IDT154,GSO,industrial,597117.47,3991370.22,50.0,1
155,IDT155,GSO,industrial,594931.96,3989115.28,75.0,1
156,IDT156,GSO,industrial,594890.31,3989103.01,50.0,1
157,IDT157,GSO,industrial,594830.07,3989150.5,75.0,1
158,IDT158,GSO,industrial,594845.99,3989184.22,50.0,1
159,IDT159,GSO,industrial,594866.22,3989117.66,50.0,1
160,IDT160,GSO,industrial,595364.52,3989837.12,50.0,1
161,IDT161,GSO,industrial,595325.91,3989804.15,25.0,1
162,IDT162,GSO,industrial,595427.95,3989819.43,75.0,1
163,IDT163,GSO,industrial,595410.57,3989829.22,50.0,1
164,IDT164,GSO,industrial,595456.92,3989794.3,50.0,1
165,IDT165,GSO,industrial,595494.24,3989766.86,75.0,1
166,IDT166,GSO,industrial,595525.77,3989756.25,75.0,1
167,IDT167,GSO,industrial,595582.45,3989807.32,50.0,1
168,IDT168,GSO,industrial,595571.52,3989750.02,50.0,1
169,IDT169,GSO,industrial,595502.51,3989762.74,50.0,1
170,IDT170,GSO,industrial,595433.78,3989693.09,50.0,1
171,IDT171,GSO,industrial,595606.87,3989698.92,75.0,1
172,IDT172,GSO,industrial,595576.64,3989723.37,50.0,1
173,IDT173,GSO,industrial,595629.34,3989774.2,75.0,1
174,IDT174,GSO,industrial,595659.91,3989771.23,50.0,1
175,IDT175,GSO,industrial,595673.55,3989733.61,75.0,1
176,IDT176,GSO,industrial,595713.71,3989686.25,50.0,1
177,IDT177,GSO,industrial,595632.03,3989651.56,50.0,1
178,IDT178,GSO,industrial,595664.73,3989681.35,75.0,1
179,IDT179,GSO,industrial,595628.7,3989690.74,25.0,1
180,IDT180,GSO,industrial,594806.93,3989445.35,50.0,1
181,IDT181,GSO,industrial,594864.32,3989470.0,50.0,1
182,IDT182,GSO,industrial,594850.79,3989557.53,75.0,1
183,IDT183,GSO,industrial,594828.3,3989554.74,50.0,1
184,IDT184,GSO,industrial,594892.75,3989544.31,75.0,1
185,IDT185,GSO,industrial,594909.36,3989463.66,25.0,1
186,IDT186,GSO,industrial,594949.42,3989547.66,50.0,1
187,IDT187,GSO,industrial,594968.39,3989554.79,50.0,1
188,IDT188,GSO,industrial,594978.25,3989557.45,50.0,1
189,IDT189,GSO,industrial,595033.25,3989552.21,75.0,1
190,IDT190,GSO,industrial,595013.13,3989556.66,50.0,1
191,IDT191,GSO,industrial,595184.57,3989512.48,50.0,1
192,IDT192,GSO,industrial,595184.57,3989512.48,50.0,1
193,IDT193,GSO,industrial,595166.5,3989443.29,50.0,1
194,IDT194,GSO,industrial,595152.26,3989404.13,25.0,1
195,IDT195,GSO,industrial,594661.92,3988447.68,500.0,3
196,IDT196,GSO,industrial,593139.51,3987796.31,25.0,1
197,IDT197,GSO,industrial,594828.38,3988796.0,75.0,3
198,IDT198,GSO,industrial,593721.55,3989586.8,500.0,3
199,IDT199,GSO,industrial,593496.87,3989078.62,50.0,1
200,IDT200,GSO,industrial,595833.52,3989676.54,75.0,1
201,IDT201,GSO,industrial,596201.54,3989612.89,50.0,1
202,IDT202,GSO,industrial,593624.51,3990503.78,25.0,1
203,IDT203,GSO,industrial,593503.36,3990622.79,25.0,1
204,IDT204,GSO,industrial,595519.06,3990085.52,300.0,3
205,IDT205,GSO,industrial,595580.43,3989992.9,75.0,3
206,IDT206,GSO,industrial,594812.05,3990067.98,25.0,1
207,IDT207,GSO,industrial,595428.66,3990072.89,75.0,3
208,IDT208,GSO,industrial,595161.18,3990223.3,25.0,1
209,IDT209,GSO,industrial,595389.56,3990009.38,75.0,3
210,IDT210,GSO,industrial,595387.8,3989945.09,75.0,3
211,IDT211,GSO,industrial,595143.8,3990428.64,300.0,3
212,IDT212,GSO,industrial,595052.52,3990392.6,75.0,3
213,IDT213,GSO,industrial,595726.06,3990774.72,75.0,3
214,IDT214,GSO,industrial,595771.65,3990608.87,25.0,1
215,IDT215,GSO,industrial,595877.8,3990456.06,50.0,1
216,IDT216,GSO,industrial,597385.32,3989901.37,25.0,1
217,IDT217,GSO,industrial,596638.285,3990761.755,25.0,1
218,IDT218,GSO,industrial,597458.01,3989760.87,150.0,3
219,IDT219,GSO,industrial,597358.92,3989781.4,25.0,1
220,IDT220,GSO,industrial,596511.945,3990764.3600000003,50.0,1
221,IDT221,GSO,industrial,595873.12,3990300.41,50.0,1
222,IDT222,GSO,industrial,596850.09,3990717.21,75.0,3
223,IDT223,GSO,industrial,597678.14,3990443.72,25.0,1
224,IDT224,GSO,industrial,596951.41,3990067.95,25.0,1
225,IDT225,GSO,industrial,597706.42,3990435.25,25.0,1
226,IDT226,GSO,industrial,593599.98,3991016.89,75.0,3
227,IDT227,GSO,industrial,593592.68,3991516.33,25.0,1
228,IDT228,GSO,industrial,593617.44,3991026.42,50.0,1
229,IDT229,GSO,industrial,593437.97,3991308.69,150.0,3
230,IDT230,GSO,industrial,593552.01,3991586.46,300.0,3
231,IDT231,GSO,industrial,595289.67,3991255.57,25.0,1
232,IDT232,GSO,industrial,595125.55,3990990.76,500.0,3
233,IDT233,GSO,industrial,595397.77,3991309.94,25.0,1
234,IDT234,GSO,industrial,595685.37,3991190.09,25.0,1
235,IDT235,GSO,industrial,595556.21,3991490.11,25.0,1
236,IDT236,GSO,industrial,595685.37,3991190.09,25.0,1
237,IDT237,GSO,industrial,595845.12,3991583.84,100.0,3
238,IDT238,GSO,industrial,595932.93,3991693.88,150.0,3
239,IDT239,GSO,industrial,595968.3,3991587.52,150.0,3
240,IDT240,GSO,industrial,596067.91,3991680.6,100.0,3
241,IDT241,GSO,industrial,596058.36,3991567.7,75.0,3
242,IDT242,GSO,industrial,596159.12,3991549.23,75.0,3
243,IDT243,GSO,industrial,594854.54,3991707.4,25.0,1
244,IDT244,GSO,industrial,595091.52,3991575.81,25.0,1
245,IDT245,GSO,industrial,596184.64,3991711.18,75.0,3
246,IDT246,GSO,industrial,596304.93,3991758.74,75.0,3
247,IDT247,GSO,industrial,595207.48,3991698.56,25.0,1
248,IDT248,GSO,industrial,596264.74,3991551.32,100.0,3
249,IDT249,GSO,industrial,596175.86,3991822.15,25.0,1
250,IDT250,GSO,industrial,596304.93,3991758.74,150.0,3
251,IDT251,GSO,industrial,596083.24,3991832.72,75.0,3
252,IDT252,GSO,industrial,595965.88,3991820.38,75.0,3
253,IDT253,GSO,industrial,596212.005,3991900.925,50.0,1
254,IDT254,GSO,industrial,595831.35,3990987.05,100.0,3
255,IDT255,GSO,industrial,597157.65,3991149.03,75.0,3
256,IDT256,GSO,industrial,593629.22,3998070.65,50.0,1
257,IDT257,GSO,industrial,593324.74,3997853.53,50.0,1
258,IDT258,GSO,industrial,592478.6,3997503.81,25.0,1
259,IDT259,GSO,industrial,592138.77,3997202.48,25.0,1
260,IDT260,GSO,industrial,592400.16,3997469.39,25.0,1
261,IDT261,GSO,industrial,595383.59,3989349.13,50.0,1
262,IDT262,GSO,industrial,595375.15,3989329.96,75.0,1
263,IDT263,GSO,industrial,595469.45,3989250.0,50.0,1
264,IDT264,GSO,industrial,595425.01,3989235.76,75.0,1
265,IDT265,GSO,industrial,595399.65,3989181.24,75.0,1
266,IDT266,GSO,industrial,595470.21,3989163.92,50.0,1
267,IDT267,GSO,industrial,595486.32,3989197.82,50.0,1
268,IDT268,GSO,industrial,595490.95,3989228.32,25.0,1
269,IDT269,GSO,industrial,595563.49,3989276.32,50.0,1
270,IDT270,GSO,industrial,595537.5,3989287.22,50.0,1
271,IDT271,GSO,industrial,595515.16,3989298.22,50.0,1
272,IDT272,GSO,industrial,595475.7,3989312.64,50.0,1
273,IDT273,GSO,industrial,595432.22,3989326.03,50.0,1
274,IDT274,GSO,industrial,595270.26,3989327.94,50.0,1
275,IDT275,GSO,industrial,595238.72,3989344.87,50.0,1
276,IDT276,GSO,industrial,595273.1,3989394.19,50.0,1
277,IDT277,GSO,industrial,595384.48,3989487.15,75.0,1
278,IDT278,GSO,industrial,595424.3,3989486.92,75.0,1
279,IDT279,GSO,industrial,595328.4,3989424.81,50.0,1
280,IDT280,GSO,industrial,595342.21,3989447.53,50.0,1
281,IDT281,GSO,industrial,595299.84,3989354.08,50.0,1
282,IDT282,GSO,industrial,594995.36,3988968.52,50.0,1
283,IDT283,GSO,industrial,595018.68,3989011.14,75.0,1
284,IDT284,GSO,industrial,595016.04,3989063.32,75.0,1
285,IDT285,GSO,industrial,594961.2,3989061.55,75.0,1
286,IDT286,GSO,industrial,594940.31,3988977.24,50.0,1
287,IDT287,GSO,industrial,594973.02,3988940.21,25.0,1
288,IDT288,GSO,industrial,594900.73,3988996.44,50.0,1
289,IDT289,GSO,industrial,594867.16,3989017.38,50.0,1
290,IDT290,GSO,industrial,594830.63,3989013.55,50.0,1
291,IDT291,GSO,industrial,594798.85,3989069.17,50.0,1
292,IDT292,GSO,industrial,594798.63,3989047.7,75.0,1
293,IDT293,GSO,industrial,594806.97,3989102.04,75.0,1
294,IDT294,GSO,industrial,594920.97,3989084.36,25.0,1
295,IDT295,GSO,industrial,594952.96,3989064.9,50.0,1
296,IDT296,GSO,industrial,595038.93,3989110.54,25.0,1
297,IDT297,GSO,industrial,592381.0449999999,3992513.9899999998,25.0,1
298,IDT298,GSO,industrial,592783.5,3992654.37,25.0,1
299,IDT299,GSO,industrial,592029.06,3992638.29,25.0,1
300,IDT300,GSO,industrial,592089.2,3992648.8,25.0,1
301,IDT301,GSO,industrial,593688.96,3992051.08,100.0,3
302,IDT302,GSO,industrial,593384.62,3992012.4,25.0,1
303,IDT303,GSO,industrial,593030.48,3992308.67,25.0,1
304,IDT304,GSO,industrial,593247.5,3992242.42,25.0,1
305,IDT305,GSO,industrial,594066.68,3992265.01,25.0,1
306,IDT306,GSO,industrial,593987.65,3992302.6,25.0,1
307,IDT307,GSO,industrial,594565.15,3992127.92,500.0,3
308,IDT308,GSO,industrial,594485.9149999999,3992257.1799999997,1000.0,3
309,IDT309,GSO,industrial,594534.89,3992109.66,300.0,3
310,IDT310,GSO,industrial,594521.32,3992453.32,500.0,3
311,IDT311,GSO,industrial,596081.66,3991912.91,75.0,3
312,IDT312,GSO,industrial,595913.99,3992857.18,75.0,3
313,IDT313,GSO,industrial,596083.3,3992794.05,300.0,3
314,IDT314,GSO,industrial,595878.52,3992753.23,50.0,1
315,IDT315,GSO,industrial,595956.975,3992826.39,50.0,1
316,IDT316,GSO,industrial,596160.86,3992055.75,75.0,3
317,IDT317,GSO,industrial,596068.96,3992060.28,100.0,3
318,IDT318,GSO,industrial,595976.64,3992063.45,25.0,1
319,IDT319,GSO,industrial,596076.55,3991988.39,100.0,3
320,IDT320,GSO,industrial,596169.99,3991982.08,100.0,3
321,IDT321,GSO,industrial,595931.23,3992726.14,25.0,1
322,IDT322,GSO,industrial,595947.425,3992180.345,50.0,1
323,IDT323,GSO,industrial,595964.83,3991893.3,75.0,3
324,IDT324,GSO,industrial,595825.9766666667,3991966.596666666,50.0,1
325,IDT325,GSO,industrial,596339.13,3991969.68,100.0,3
326,IDT326,GSO,industrial,596337.4,3992033.53,75.0,3
327,IDT327,GSO,industrial,595986.59,3991991.22,50.0,1
328,IDT328,GSO,industrial,595980.2025,3993414.0325,50.0,1
329,IDT329,GSO,industrial,596023.6,3993350.43,75.0,3
330,IDT330,GSO,industrial,596605.65,3992652.9349999996,50.0,1
331,IDT331,GSO,industrial,596059.765,3993323.7900000005,25.0,1
332,IDT332,GSO,industrial,596616.36,3992847.54,50.0,1
333,IDT333,GSO,industrial,596616.36,3992847.54,50.0,1
334,IDT334,GSO,industrial,596616.36,3992847.54,50.0,1
335,IDT335,GSO,industrial,596623.69,3992864.98,50.0,1
336,IDT336,GSO,industrial,596649.97,3992657.53,25.0,1
337,IDT337,GSO,industrial,596752.8999999999,3992793.64,75.0,1
338,IDT338,GSO,industrial,596086.78,3993475.23,50.0,1
339,IDT339,GSO,industrial,596393.43,3992928.34,75.0,3
340,IDT340,GSO,industrial,595931.86,3992905.835,50.0,1
341,IDT341,GSO,industrial,596644.4,3993259.51,300.0,3
342,IDT342,GSO,industrial,595943.91,3992928.71,75.0,3
343,IDT343,GSO,industrial,595966.59,3992986.81,25.0,1
344,IDT344,GSO,industrial,596689.6,3993021.93,100.0,3
345,IDT345,GSO,industrial,596704.25,3993056.81,100.0,3
346,IDT346,GSO,industrial,596512.9550000001,3993118.8749999995,300.0,3
347,IDT347,GSO,industrial,596704.25,3993056.81,150.0,3
348,IDT348,GSO,industrial,596590.02,3993048.96,150.0,3
349,IDT349,GSO,industrial,595843.12,3993125.59,75.0,3
350,IDT350,GSO,industrial,596571.77,3993238.93,25.0,1
351,IDT351,GSO,industrial,596674.96,3992987.05,75.0,3
352,IDT352,GSO,industrial,596689.6,3993021.93,50.0,1
353,IDT353,GSO,industrial,596731.93,3993220.84,25.0,1
354,IDT354,GSO,industrial,596537.01,3993253.33,300.0,3
355,IDT355,GSO,industrial,596570.89,3993129.37,150.0,3
356,IDT356,GSO,industrial,596714.42,3993228.57,300.0,3
357,IDT357,GSO,industrial,596786.3433333333,3993374.4533333327,500.0,3
358,IDT358,GSO,industrial,596660.31,3992952.18,50.0,1
359,IDT359,GSO,industrial,595990.68,3993052.19,75.0,3
360,IDT360,GSO,industrial,596352.16,3993658.51,150.0,3
361,IDT361,GSO,industrial,596559.31,3993567.88,300.0,3
362,IDT362,GSO,industrial,591943.83,3993818.92,25.0,1
363,IDT363,GSO,industrial,592204.26,3994343.78,300.0,3
364,IDT364,GSO,industrial,592462.29,3994763.57,150.0,3
365,IDT365,GSO,industrial,593258.6,3993937.42,500.0,3
366,IDT366,GSO,industrial,594085.78,3993980.33,25.0,1
367,IDT367,GSO,industrial,594344.75,3994099.96,25.0,1
368,IDT368,GSO,industrial,593938.0000000001,3993876.185,25.0,1
369,IDT369,GSO,industrial,594055.82,3994433.29,75.0,3
370,IDT370,GSO,industrial,594077.33,3994697.77,100.0,3
371,IDT371,GSO,industrial,594739.51,3994663.55,25.0,1
372,IDT372,GSO,industrial,595605.25,3994676.03,25.0,1
373,IDT373,GSO,industrial,595161.61,3994094.08,300.0,3
374,IDT374,GSO,industrial,591036.27,3995454.96,25.0,1
375,IDT375,GSO,industrial,590829.4,3995412.0,50.0,1
376,IDT376,GSO,industrial,592089.66,3994954.2,75.0,3
377,IDT377,GSO,industrial,591182.04,3995277.22,25.0,1
378,IDT378,GSO,industrial,591942.31,3995687.33,150.0,3
379,IDT379,GSO,industrial,593641.4,3994903.97,75.0,3
380,IDT380,GSO,industrial,592953.19,3995357.62,25.0,1
381,IDT381,GSO,industrial,593854.25,3996380.1,300.0,3
382,IDT382,GSO,industrial,593908.77,3996359.88,300.0,3
383,IDT383,GSO,industrial,593765.71,3996492.5,300.0,3
384,IDT384,GSO,industrial,593471.94,3996826.16,500.0,3
385,IDT385,GSO,industrial,592873.04,3997652.16,25.0,1
386,IDT386,GSO,industrial,592925.66,3997591.17,25.0,1
387,IDT387,GSO,industrial,596520.0033333333,3997444.1100000003,50.0,1
388,IDT388,GSO,industrial,594380.58,3996847.25,150.0,3
389,IDT389,GSO,industrial,594359.81,3997009.49,25.0,1
390,IDT390,GSO,industrial,594302.65,3997001.92,100.0,3
391,IDT391,GSO,industrial,594538.14,3997151.85,25.0,1
392,IDT392,GSO,industrial,593981.09,3997237.35,75.0,3
393,IDT393,GSO,industrial,595115.48,3997562.07,25.0,1
394,IDT394,GSO,industrial,590591.27,3995788.84,25.0,1
395,IDT395,GSO,industrial,593753.16,3988321.07,300.0,3
396,IDT396,GSO,industrial,592865.3,3988228.52,75.0,3
397,IDT397,GSO,industrial,593238.6,3988277.68,300.0,3
398,IDT398,GSO,industrial,593357.76,3988401.87,25.0,1
399,IDT399,GSO,industrial,594730.4,3989745.55,25.0,1
400,IDT400,GSO,industrial,594578.01,3989720.73,25.0,1
401,IDT401,GSO,industrial,594497.25,3989561.54,50.0,1
402,IDT402,GSO,industrial,594664.4,3989741.39,25.0,1
403,IDT403,GSO,industrial,594477.3,3989696.64,25.0,1
404,IDT404,GSO,industrial,594857.68,3989723.6,25.0,1
405,IDT405,GSO,industrial,595153.97,3989794.08,25.0,1
406,IDT406,GSO,industrial,595000.75,3989133.34,75.0,3
407,IDT407,GSO,industrial,594961.58,3989747.29,25.0,1
408,IDT408,GSO,industrial,595473.83,3989945.36,75.0,3
409,IDT409,GSO,industrial,595639.18,3989905.21,75.0,3
410,IDT410,GSO,industrial,595363.44,3989919.65,75.0,3
411,IDT411,GSO,industrial,593122.83,3987688.29,100.0,3
412,IDT412,GSO,industrial,593134.4,3987691.81,100.0,3
413,IDT413,GSO,industrial,593037.54,3987390.02,300.0,3
414,IDT414,GSO,industrial,593029.98,3987649.16,300.0,3
415,IDT415,GSO,industrial,593158.0,3987887.62,50.0,1
416,IDT416,GSO,industrial,593286.07,3995917.48,25.0,1
417,IDT417,GSO,industrial,597424.0,3994635.23,25.0,1
418,IDT418,GSO,industrial,597478.9,3994635.18,25.0,1
419,IDT419,GSO,industrial,597206.9,3994472.66,100.0,3
420,IDT420,GSO,industrial,597350.26,3994477.1,25.0,1
421,IDT421,GSO,industrial,597499.15,3994405.43,25.0,1
422,IDT422,GSO,industrial,596965.66,3994290.37,25.0,1
423,IDT423,GSO,industrial,597546.08,3994634.82,25.0,1
424,IDT424,GSO,industrial,597173.84,3994515.62,100.0,3
425,IDT425,GSO,industrial,597274.65,3994469.77,150.0,3
426,IDT426,GSO,industrial,597578.69,3994528.44,25.0,1
427,IDT427,GSO,industrial,597498.96,3993941.66,75.0,3
428,IDT428,GSO,industrial,597357.88,3994043.51,75.0,3
429,IDT429,GSO,industrial,597258.88,3994490.83,150.0,3
430,IDT430,GSO,industrial,597287.4,3994056.96,25.0,1
431,IDT431,GSO,industrial,597352.84,3994010.75,25.0,1
432,IDT432,GSO,industrial,597538.15,3994026.66,75.0,3
