Code,NodeA,NodeB,NomV,Len,Equip,R,X,C,R0,X0,C0,Imax,Status,Phases,PhasesV,PhasesVI,Subest,Feeder,
L(R:IDM16-P1ILV2650)            ,IDM16      ,P1ILV2650  ,0.42  ,0.032 ,1P_UG_AL_1/0_Brenau_0_416_0            ,0.01710 ,0.00317 ,1.67068    ,0.05263 ,0.04085  ,0.12254  ,205 ,1 ,B   ,B_LV   ,1_LV_68.3333 ,IHS3_1247 ,IHS3_1247 -> IDT1334 ,
L(R:IDM14-IDM16)                ,IDM14      ,IDM16      ,0.42  ,0.008 ,1P_UG_AL_1/0_Brenau_0_416_0            ,0.00452 ,0.00084 ,0.44198    ,0.01392 ,0.01081  ,0.03242  ,205 ,1 ,B   ,B_LV   ,1_LV_68.3333 ,IHS3_1247 ,IHS3_1247 -> IDT1334 ,
L(R:IDM14-IDT11LV)              ,IDT11LV    ,IDM14      ,0.42  ,0.008 ,1P_UG_AL_1/0_Brenau_0_416_0            ,0.00452 ,0.00084 ,0.44145    ,0.01391 ,0.01079  ,0.03238  ,205 ,1 ,B   ,B_LV   ,1_LV_68.3333 ,IHS3_1247 ,IHS3_1247 -> IDT1334 ,
L(R:IDM15-P1ILV2512)            ,IDM15      ,P1ILV2512  ,0.42  ,0.025 ,1P_UG_AL_1/0_Brenau_0_416_0            ,0.01330 ,0.00247 ,1.29910    ,0.04092 ,0.03176  ,0.09528  ,205 ,1 ,B   ,B_LV   ,1_LV_68.3333 ,IHS3_1247 ,IHS3_1247 -> IDT1334 ,
L(R:IDM15-IDT11LV)              ,IDT11LV    ,IDM15      ,0.42  ,0.030 ,1P_UG_AL_1/0_Brenau_0_416_0            ,0.01596 ,0.00296 ,1.55933    ,0.04912 ,0.03812  ,0.11437  ,205 ,1 ,B   ,B_LV   ,1_LV_68.3333 ,IHS3_1247 ,IHS3_1247 -> IDT1334 ,
L(R:IDT12LV-P1ILV13)            ,IDT12LV    ,P1ILV13    ,0.42  ,0.074 ,1P_UG_AL_1/0_Brenau_0_416_0            ,0.03999 ,0.00742 ,3.90708    ,0.12308 ,0.09552  ,0.28657  ,205 ,1 ,C   ,C_LV   ,1_LV_68.3333 ,IHS3_1247 ,IHS3_1247 -> IDT1334 ,
L(R:IDT16LV-P1ILV17)            ,IDT16LV    ,P1ILV17    ,0.42  ,0.018 ,1P_OH_CU_4_Ionic_0_416_0               ,0.01476 ,0.00180 ,0.96659    ,0.03593 ,0.02224  ,0.06671  ,115 ,1 ,B   ,B_LV   ,1_LV_38.3333 ,IHS0_1247 ,IHS0_1247 -> IDT605  ,
L(R:IDT18LV-P1ILV19)            ,IDT18LV    ,P1ILV19    ,0.42  ,0.029 ,1P_OH_CU_4_Ionic_0_416_0               ,0.02397 ,0.00292 ,1.57053    ,0.05838 ,0.03613  ,0.10839  ,115 ,1 ,B   ,B_LV   ,1_LV_38.3333 ,IHS0_1247 ,IHS0_1247 -> IDT620  ,
L(R:IDT19LV-P1ILV20)            ,IDT19LV    ,P1ILV20    ,0.42  ,0.027 ,1P_OH_CU_4_Ionic_0_416_0               ,0.02234 ,0.00272 ,1.46346    ,0.05440 ,0.03367  ,0.10100  ,115 ,1 ,B   ,B_LV   ,1_LV_38.3333 ,IHS3_1247 ,IHS3_1247 -> IDT1334 ,
L(R:IDM25-P1ILV21)              ,IDM25      ,P1ILV21    ,0.42  ,0.029 ,1P_OH_CU_4_Ionic_0_416_0               ,0.02444 ,0.00297 ,1.60134    ,0.05953 ,0.03684  ,0.11052  ,115 ,1 ,A   ,A_LV   ,1_LV_38.3333 ,IHS0_1247 ,IHS0_1247 -> IDT620  ,
L(R:IDM25-IDT20LV)              ,IDT20LV    ,IDM25      ,0.42  ,0.031 ,1P_OH_CU_4_Ionic_0_416_0               ,0.02613 ,0.00318 ,1.71155    ,0.06362 ,0.03937  ,0.11812  ,115 ,1 ,A   ,A_LV   ,1_LV_38.3333 ,IHS0_1247 ,IHS0_1247 -> IDT620  ,
L(R:IDM26-P1ILV2643)            ,IDM26      ,P1ILV2643  ,0.42  ,0.029 ,1P_OH_CU_4_Ionic_0_416_0               ,0.02441 ,0.00297 ,1.59890    ,0.05943 ,0.03678  ,0.11035  ,115 ,1 ,A   ,A_LV   ,1_LV_38.3333 ,IHS0_1247 ,IHS0_1247 -> IDT620  ,
L(R:IDM26-IDT20LV)              ,IDT20LV    ,IDM26      ,0.42  ,0.019 ,1P_OH_CU_4_Ionic_0_416_0               ,0.01567 ,0.00191 ,1.02677    ,0.03817 ,0.02362  ,0.07086  ,115 ,1 ,A   ,A_LV   ,1_LV_38.3333 ,IHS0_1247 ,IHS0_1247 -> IDT620  ,
L(R:IDT21LV-P1ILV22)            ,IDT21LV    ,P1ILV22    ,0.42  ,0.018 ,1P_UG_AL_4/0_Sweetbriar_0_416_0        ,0.00481 ,0.00166 ,1.03033    ,0.01952 ,0.01256  ,0.03768  ,301 ,1 ,C   ,C_LV   ,1_LV_100.333 ,IHS0_1247 ,IHS0_1247 -> IDT620  ,
L(R:IDM28-P1ILV23)              ,IDM28      ,P1ILV23    ,0.42  ,0.003 ,1P_UG_AL_1/0_Brenau_0_416_0            ,0.00158 ,0.00029 ,0.15397    ,0.00485 ,0.00376  ,0.01129  ,205 ,1 ,C   ,C_LV   ,1_LV_68.3333 ,IHS0_1247 ,IHS0_1247 -> IDT620  ,
L(R:IDM28-IDT21LV)              ,IDT21LV    ,IDM28      ,0.42  ,0.014 ,1P_UG_AL_1/0_Brenau_0_416_0            ,0.00731 ,0.00136 ,0.71430    ,0.02250 ,0.01746  ,0.05239  ,205 ,1 ,C   ,C_LV   ,1_LV_68.3333 ,IHS0_1247 ,IHS0_1247 -> IDT620  ,
L(R:IDT22LV-P1ILV24)            ,IDT22LV    ,P1ILV24    ,0.42  ,0.015 ,1P_OH_CU_4_Ionic_0_416_0               ,0.01244 ,0.00151 ,0.81516    ,0.03030 ,0.01875  ,0.05626  ,115 ,1 ,B   ,B_LV   ,1_LV_38.3333 ,IHS0_1247 ,IHS0_1247 -> IDT620  ,
L(R:IDT28LV-P1ILV30)            ,IDT28LV    ,P1ILV30    ,0.42  ,0.026 ,1P_OH_CU_4_Ionic_0_416_0               ,0.02192 ,0.00267 ,1.43564    ,0.05337 ,0.03303  ,0.09908  ,115 ,1 ,B   ,B_LV   ,1_LV_38.3333 ,IHS0_1247 ,IHS0_1247 -> IDT740  ,
L(R:IDT28LV-P1ILV44)            ,IDT28LV    ,P1ILV44    ,0.42  ,0.055 ,1P_OH_CU_4_Ionic_0_416_0               ,0.04612 ,0.00561 ,3.02112    ,0.11230 ,0.06950  ,0.20850  ,115 ,1 ,B   ,B_LV   ,1_LV_38.3333 ,IHS0_1247 ,IHS0_1247 -> IDT740  ,
L(R:IDM37-P1ILV46)              ,IDM37      ,P1ILV46    ,0.42  ,0.053 ,1P_OH_CU_4_Ionic_0_416_0               ,0.04420 ,0.00538 ,2.89545    ,0.10763 ,0.06661  ,0.19983  ,115 ,1 ,B   ,B_LV   ,1_LV_38.3333 ,IHS0_1247 ,IHS0_1247 -> IDT740  ,
L(R:IDM37-IDT28LV)              ,IDT28LV    ,IDM37      ,0.42  ,0.017 ,1P_OH_CU_4_Ionic_0_416_0               ,0.01416 ,0.00172 ,0.92787    ,0.03449 ,0.02135  ,0.06404  ,115 ,1 ,B   ,B_LV   ,1_LV_38.3333 ,IHS0_1247 ,IHS0_1247 -> IDT740  ,
L(R:IDM38-P1ILV2096)            ,IDM38      ,P1ILV2096  ,0.42  ,0.037 ,1P_OH_CU_4_Ionic_0_416_0               ,0.03075 ,0.00374 ,2.01453    ,0.07488 ,0.04634  ,0.13903  ,115 ,1 ,B   ,B_LV   ,1_LV_38.3333 ,IHS0_1247 ,IHS0_1247 -> IDT740  ,
L(R:IDM38-IDT28LV)              ,IDT28LV    ,IDM38      ,0.42  ,0.033 ,1P_OH_CU_4_Ionic_0_416_0               ,0.02773 ,0.00337 ,1.81652    ,0.06752 ,0.04179  ,0.12537  ,115 ,1 ,B   ,B_LV   ,1_LV_38.3333 ,IHS0_1247 ,IHS0_1247 -> IDT740  ,
L(R:IDT29LV-P1ILV1642)          ,IDT29LV    ,P1ILV1642  ,0.42  ,0.047 ,1P_OH_CU_4_Ionic_0_416_0               ,0.03880 ,0.00472 ,2.54206    ,0.09449 ,0.05848  ,0.17544  ,115 ,1 ,C   ,C_LV   ,1_LV_38.3333 ,IHS0_1247 ,IHS0_1247 -> IDT740  ,
L(R:IDM39-P1ILV31)              ,IDM39      ,P1ILV31    ,0.42  ,0.026 ,1P_OH_CU_4_Ionic_0_416_0               ,0.02186 ,0.00266 ,1.43190    ,0.05323 ,0.03294  ,0.09882  ,115 ,1 ,C   ,C_LV   ,1_LV_38.3333 ,IHS0_1247 ,IHS0_1247 -> IDT740  ,
L(R:IDM39-IDT29LV)              ,IDT29LV    ,IDM39      ,0.42  ,0.019 ,1P_OH_CU_4_Ionic_0_416_0               ,0.01546 ,0.00188 ,1.01287    ,0.03765 ,0.02330  ,0.06990  ,115 ,1 ,C   ,C_LV   ,1_LV_38.3333 ,IHS0_1247 ,IHS0_1247 -> IDT740  ,
L(R:IDT30LV-P1ILV49)            ,IDT30LV    ,P1ILV49    ,0.42  ,0.026 ,1P_OH_CU_4_Ionic_0_416_0               ,0.02132 ,0.00259 ,1.39692    ,0.05193 ,0.03214  ,0.09641  ,115 ,1 ,A   ,A_LV   ,1_LV_38.3333 ,IHS0_1247 ,IHS0_1247 -> IDT740  ,
L(R:IDT30LV-P1ILV1299)          ,IDT30LV    ,P1ILV1299  ,0.42  ,0.018 ,1P_OH_CU_4_Ionic_0_416_0               ,0.01514 ,0.00184 ,0.99204    ,0.03688 ,0.02282  ,0.06847  ,115 ,1 ,A   ,A_LV   ,1_LV_38.3333 ,IHS0_1247 ,IHS0_1247 -> IDT740  ,
L(R:IDM41-P1ILV32)              ,IDM41      ,P1ILV32    ,0.42  ,0.018 ,1P_OH_CU_4_Ionic_0_416_0               ,0.01537 ,0.00187 ,1.00692    ,0.03743 ,0.02316  ,0.06949  ,115 ,1 ,A   ,A_LV   ,1_LV_38.3333 ,IHS0_1247 ,IHS0_1247 -> IDT740  ,
L(R:IDM41-IDT30LV)              ,IDT30LV    ,IDM41      ,0.42  ,0.034 ,1P_OH_CU_4_Ionic_0_416_0               ,0.02831 ,0.00344 ,1.85454    ,0.06894 ,0.04266  ,0.12799  ,115 ,1 ,A   ,A_LV   ,1_LV_38.3333 ,IHS0_1247 ,IHS0_1247 -> IDT740  ,
L(R:IDM42-P1ILV48)              ,IDM42      ,P1ILV48    ,0.42  ,0.013 ,1P_OH_CU_4_Ionic_0_416_0               ,0.01104 ,0.00134 ,0.72297    ,0.02687 ,0.01663  ,0.04990  ,115 ,1 ,A   ,A_LV   ,1_LV_38.3333 ,IHS0_1247 ,IHS0_1247 -> IDT740  ,
L(R:IDM42-IDT30LV)              ,IDT30LV    ,IDM42      ,0.42  ,0.034 ,1P_OH_CU_4_Ionic_0_416_0               ,0.02830 ,0.00344 ,1.85400    ,0.06892 ,0.04265  ,0.12795  ,115 ,1 ,A   ,A_LV   ,1_LV_38.3333 ,IHS0_1247 ,IHS0_1247 -> IDT740  ,
L(R:IDT31LV-P1ILV33)            ,IDT31LV    ,P1ILV33    ,0.42  ,0.025 ,1P_OH_CU_4_Ionic_0_416_0               ,0.02066 ,0.00251 ,1.35364    ,0.05032 ,0.03114  ,0.09342  ,115 ,1 ,B   ,B_LV   ,1_LV_38.3333 ,IHS0_1247 ,IHS0_1247 -> IDT740  ,
L(R:IDT33LV-P1ILV1577)          ,IDT33LV    ,P1ILV1577  ,0.42  ,0.032 ,1P_OH_CU_4_Ionic_0_416_0               ,0.02635 ,0.00321 ,1.72591    ,0.06416 ,0.03970  ,0.11911  ,115 ,1 ,B   ,B_LV   ,1_LV_38.3333 ,IHS0_1247 ,IHS0_1247 -> IDT740  ,
L(R:IDT33LV-P1ILV1597)          ,IDT33LV    ,P1ILV1597  ,0.42  ,0.091 ,1P_OH_CU_4_Ionic_0_416_0               ,0.07566 ,0.00921 ,4.95667    ,0.18425 ,0.11403  ,0.34208  ,115 ,1 ,B   ,B_LV   ,1_LV_38.3333 ,IHS0_1247 ,IHS0_1247 -> IDT740  ,
L(R:IDM47-P1ILV35)              ,IDM47      ,P1ILV35    ,0.42  ,0.034 ,1P_OH_CU_4_Ionic_0_416_0               ,0.02788 ,0.00339 ,1.82640    ,0.06789 ,0.04202  ,0.12605  ,115 ,1 ,B   ,B_LV   ,1_LV_38.3333 ,IHS0_1247 ,IHS0_1247 -> IDT740  ,
L(R:IDM47-IDT33LV)              ,IDT33LV    ,IDM47      ,0.42  ,0.019 ,1P_OH_CU_4_Ionic_0_416_0               ,0.01586 ,0.00193 ,1.03904    ,0.03862 ,0.02390  ,0.07171  ,115 ,1 ,B   ,B_LV   ,1_LV_38.3333 ,IHS0_1247 ,IHS0_1247 -> IDT740  ,
L(R:IDT34LV-P1ILV36)            ,IDT34LV    ,P1ILV36    ,0.42  ,0.059 ,1P_OH_CU_4_Ionic_0_416_0               ,0.04942 ,0.00601 ,3.23747    ,0.12034 ,0.07448  ,0.22343  ,115 ,1 ,C   ,C_LV   ,1_LV_38.3333 ,IHS0_1247 ,IHS0_1247 -> IDT740  ,
L(R:IDT36LV-P1ILV38)            ,IDT36LV    ,P1ILV38    ,0.42  ,0.001 ,1P_UG_AL_1/0_Brenau_0_416_0            ,0.00054 ,0.00010 ,0.05281    ,0.00166 ,0.00129  ,0.00387  ,205 ,1 ,B   ,B_LV   ,1_LV_68.3333 ,IHS0_1247 ,IHS0_1247 -> IDT740  ,
L(R:IDT37LV-P1ILV39)            ,IDT37LV    ,P1ILV39    ,0.42  ,0.037 ,1P_UG_AL_1/0_Brenau_0_416_0            ,0.01994 ,0.00370 ,1.94855    ,0.06138 ,0.04764  ,0.14292  ,205 ,1 ,A   ,A_LV   ,1_LV_68.3333 ,IHS0_1247 ,IHS0_1247 -> IDT620  ,
L(R:IDT37LV-P1ILV1316)          ,IDT37LV    ,P1ILV1316  ,0.42  ,0.006 ,1P_UG_AL_1/0_Brenau_0_416_0            ,0.00351 ,0.00065 ,0.34261    ,0.01079 ,0.00838  ,0.02513  ,205 ,1 ,A   ,A_LV   ,1_LV_68.3333 ,IHS0_1247 ,IHS0_1247 -> IDT620  ,
L(R:IDT37LV-P1ILV1543)          ,IDT37LV    ,P1ILV1543  ,0.42  ,0.032 ,1P_UG_AL_1/0_Brenau_0_416_0            ,0.01745 ,0.00324 ,1.70505    ,0.05371 ,0.04169  ,0.12506  ,205 ,1 ,A   ,A_LV   ,1_LV_68.3333 ,IHS0_1247 ,IHS0_1247 -> IDT620  ,
L(R:IDT38LV-P1ILV1292)          ,IDT38LV    ,P1ILV1292  ,0.42  ,0.028 ,1P_OH_CU_4_Ionic_0_416_0               ,0.02348 ,0.00286 ,1.53841    ,0.05719 ,0.03539  ,0.10617  ,115 ,1 ,C   ,C_LV   ,1_LV_38.3333 ,IHS0_1247 ,IHS0_1247 -> IDT740  ,
L(R:IDM57-P1ILV42)              ,IDM57      ,P1ILV42    ,0.42  ,0.051 ,1P_OH_CU_4_Ionic_0_416_0               ,0.04271 ,0.00520 ,2.79760    ,0.10399 ,0.06436  ,0.19308  ,115 ,1 ,C   ,C_LV   ,1_LV_38.3333 ,IHS0_1247 ,IHS0_1247 -> IDT740  ,
L(R:IDM56-P1ILV40)              ,IDM56      ,P1ILV40    ,0.42  ,0.026 ,1P_OH_CU_4_Ionic_0_416_0               ,0.02176 ,0.00265 ,1.42555    ,0.05299 ,0.03279  ,0.09838  ,115 ,1 ,C   ,C_LV   ,1_LV_38.3333 ,IHS0_1247 ,IHS0_1247 -> IDT740  ,
L(R:IDM56-IDM57)                ,IDM57      ,IDM56      ,0.42  ,0.019 ,1P_OH_CU_4_Ionic_0_416_0               ,0.01547 ,0.00188 ,1.01341    ,0.03767 ,0.02331  ,0.06994  ,115 ,1 ,C   ,C_LV   ,1_LV_38.3333 ,IHS0_1247 ,IHS0_1247 -> IDT740  ,
L(R:IDM57-IDT38LV)              ,IDT38LV    ,IDM57      ,0.42  ,0.019 ,1P_OH_CU_4_Ionic_0_416_0               ,0.01547 ,0.00188 ,1.01342    ,0.03767 ,0.02331  ,0.06994  ,115 ,1 ,C   ,C_LV   ,1_LV_38.3333 ,IHS0_1247 ,IHS0_1247 -> IDT740  ,
L(R:IDM59-P1ILV1327)            ,IDM59      ,P1ILV1327  ,0.42  ,0.031 ,1P_OH_CU_4_Ionic_0_416_0               ,0.02569 ,0.00313 ,1.68310    ,0.06256 ,0.03872  ,0.11616  ,115 ,1 ,C   ,C_LV   ,1_LV_38.3333 ,IHS0_1247 ,IHS0_1247 -> IDT740  ,
L(R:IDM59-IDT38LV)              ,IDT38LV    ,IDM59      ,0.42  ,0.037 ,1P_OH_CU_4_Ionic_0_416_0               ,0.03094 ,0.00376 ,2.02683    ,0.07534 ,0.04663  ,0.13988  ,115 ,1 ,C   ,C_LV   ,1_LV_38.3333 ,IHS0_1247 ,IHS0_1247 -> IDT740  ,
L(R:IDT39LV-P1ILV1268)          ,IDT39LV    ,P1ILV1268  ,0.42  ,0.075 ,1P_UG_AL_4/0_Sweetbriar_0_416_0        ,0.02033 ,0.00701 ,4.35145    ,0.08242 ,0.05304  ,0.15913  ,301 ,1 ,C   ,C_LV   ,1_LV_100.333 ,IHS0_1247 ,IHS0_1247 -> IDT620  ,
L(R:IDM60-P1ILV41)              ,IDM60      ,P1ILV41    ,0.42  ,0.070 ,1P_UG_AL_1/0_Brenau_0_416_0            ,0.03791 ,0.00703 ,3.70422    ,0.11669 ,0.09056  ,0.27169  ,205 ,1 ,C   ,C_LV   ,1_LV_68.3333 ,IHS0_1247 ,IHS0_1247 -> IDT620  ,
L(R:IDM61-P1ILV43)              ,IDM61      ,P1ILV43    ,0.42  ,0.070 ,1P_UG_AL_1/0_Brenau_0_416_0            ,0.03794 ,0.00704 ,3.70676    ,0.11677 ,0.09063  ,0.27188  ,205 ,1 ,C   ,C_LV   ,1_LV_68.3333 ,IHS0_1247 ,IHS0_1247 -> IDT620  ,
L(R:IDM60-IDM61)                ,IDM60      ,IDM61      ,0.42  ,0.010 ,1P_UG_AL_1/0_Brenau_0_416_0            ,0.00527 ,0.00098 ,0.51479    ,0.01622 ,0.01259  ,0.03776  ,205 ,1 ,C   ,C_LV   ,1_LV_68.3333 ,IHS0_1247 ,IHS0_1247 -> IDT620  ,
L(R:IDM60-IDT39LV)              ,IDT39LV    ,IDM60      ,0.42  ,0.010 ,1P_UG_AL_1/0_Brenau_0_416_0            ,0.00526 ,0.00098 ,0.51426    ,0.01620 ,0.01257  ,0.03772  ,205 ,1 ,C   ,C_LV   ,1_LV_68.3333 ,IHS0_1247 ,IHS0_1247 -> IDT620  ,
L(R:IDM63-P1ILV1338)            ,IDM63      ,P1ILV1338  ,0.42  ,0.093 ,1P_UG_AL_4/0_Sweetbriar_0_416_0        ,0.02519 ,0.00868 ,5.39066    ,0.10210 ,0.06571  ,0.19714  ,301 ,1 ,C   ,C_LV   ,1_LV_100.333 ,IHS0_1247 ,IHS0_1247 -> IDT620  ,
L(R:IDM63-P1ILV1620)            ,IDM63      ,P1ILV1620  ,0.42  ,0.044 ,1P_UG_AL_1/0_Brenau_0_416_0            ,0.02365 ,0.00439 ,2.31081    ,0.07279 ,0.05650  ,0.16949  ,205 ,1 ,C   ,C_LV   ,1_LV_68.3333 ,IHS0_1247 ,IHS0_1247 -> IDT620  ,
L(R:IDM63-IDT39LV)              ,IDT39LV    ,IDM63      ,0.42  ,0.010 ,1P_UG_AL_4/0_Sweetbriar_0_416_0        ,0.00264 ,0.00091 ,0.56411    ,0.01068 ,0.00688  ,0.02063  ,301 ,1 ,C   ,C_LV   ,1_LV_100.333 ,IHS0_1247 ,IHS0_1247 -> IDT620  ,
L(R:IDT40LV-P1ILV45)            ,IDT40LV    ,P1ILV45    ,0.42  ,0.076 ,1P_UG_AL_1/0_Brenau_0_416_0            ,0.04100 ,0.00761 ,4.00616    ,0.12620 ,0.09794  ,0.29383  ,205 ,1 ,A   ,A_LV   ,1_LV_68.3333 ,IHS0_1247 ,IHS0_1247 -> IDT620  ,
L(R:IDT41LV-P1ILV47)            ,IDT41LV    ,P1ILV47    ,0.42  ,0.001 ,1P_OH_CU_4_Ionic_0_416_0               ,0.00083 ,0.00010 ,0.05448    ,0.00203 ,0.00125  ,0.00376  ,115 ,1 ,A   ,A_LV   ,1_LV_38.3333 ,IHS0_1247 ,IHS0_1247 -> IDT740  ,
L(R:IDT47LV-P1ILV55)            ,IDT47LV    ,P1ILV55    ,0.42  ,0.023 ,1P_UG_AL_4/0_Sweetbriar_0_416_0        ,0.00626 ,0.00216 ,1.34019    ,0.02538 ,0.01634  ,0.04901  ,301 ,1 ,C   ,C_LV   ,1_LV_100.333 ,IHS3_1247 ,IHS3_1247 -> IDT893  ,
L(R:IDM73-P1ILV56)              ,IDM73      ,P1ILV56    ,0.42  ,0.022 ,1P_OH_CU_4_Ionic_0_416_0               ,0.01803 ,0.00219 ,1.18129    ,0.04391 ,0.02718  ,0.08153  ,115 ,1 ,B   ,B_LV   ,1_LV_38.3333 ,IHS3_1247 ,IHS3_1247 -> IDT893  ,
L(R:IDM73-IDT48LV)              ,IDT48LV    ,IDM73      ,0.42  ,0.014 ,1P_OH_CU_4_Ionic_0_416_0               ,0.01196 ,0.00146 ,0.78344    ,0.02912 ,0.01802  ,0.05407  ,115 ,1 ,B   ,B_LV   ,1_LV_38.3333 ,IHS3_1247 ,IHS3_1247 -> IDT893  ,
L(R:IDM74-P1ILV2553)            ,IDM74      ,P1ILV2553  ,0.42  ,0.043 ,1P_OH_CU_4_Ionic_0_416_0               ,0.03583 ,0.00436 ,2.34694    ,0.08724 ,0.05399  ,0.16197  ,115 ,1 ,B   ,B_LV   ,1_LV_38.3333 ,IHS3_1247 ,IHS3_1247 -> IDT893  ,
L(R:IDM74-IDT48LV)              ,IDT48LV    ,IDM74      ,0.42  ,0.014 ,1P_OH_CU_4_Ionic_0_416_0               ,0.01197 ,0.00146 ,0.78398    ,0.02914 ,0.01804  ,0.05411  ,115 ,1 ,B   ,B_LV   ,1_LV_38.3333 ,IHS3_1247 ,IHS3_1247 -> IDT893  ,
L(R:IDT51LV-P1ILV59)            ,IDT51LV    ,P1ILV59    ,0.42  ,0.032 ,1P_OH_CU_4_Ionic_0_416_0               ,0.02645 ,0.00322 ,1.73267    ,0.06441 ,0.03986  ,0.11958  ,115 ,1 ,B   ,B_LV   ,1_LV_38.3333 ,IHS1_1247 ,IHS1_1247 -> IDT1478 ,
L(R:IDT51LV-P1ILV2073)          ,IDT51LV    ,P1ILV2073  ,0.42  ,0.015 ,1P_OH_CU_4_Ionic_0_416_0               ,0.01213 ,0.00148 ,0.79447    ,0.02953 ,0.01828  ,0.05483  ,115 ,1 ,B   ,B_LV   ,1_LV_38.3333 ,IHS1_1247 ,IHS1_1247 -> IDT1478 ,
L(R:IDT56LV-P1ILV64)            ,IDT56LV    ,P1ILV64    ,0.42  ,0.047 ,1P_OH_CU_4_Ionic_0_416_0               ,0.03886 ,0.00473 ,2.54551    ,0.09462 ,0.05856  ,0.17568  ,115 ,1 ,A   ,A_LV   ,1_LV_38.3333 ,IHS3_1247 ,IHS3_1247 -> IDT893  ,
L(R:IDT59LV-P1ILV67)            ,IDT59LV    ,P1ILV67    ,0.42  ,0.019 ,1P_OH_CU_4_Ionic_0_416_0               ,0.01580 ,0.00192 ,1.03507    ,0.03848 ,0.02381  ,0.07144  ,115 ,1 ,A   ,A_LV   ,1_LV_38.3333 ,IHS3_1247 ,IHS3_1247 -> IDT1334 ,
L(R:IDM88-P1ILV69)              ,IDM88      ,P1ILV69    ,0.42  ,0.029 ,1P_UG_AL_1/0_Brenau_0_416_0            ,0.01542 ,0.00286 ,1.50704    ,0.04747 ,0.03684  ,0.11053  ,205 ,1 ,A   ,A_LV   ,1_LV_68.3333 ,IHS2_1247 ,IHS2_1247 -> IDT486  ,
