Code,Phases,NVolt_kV,DemP_kW,DemQ_kVAr,Subest,Feeder,Pinst_kW,Qinst_kVAr,Yearly_kWh,NumCust,,,,,,
P1ILV55    ,1,0.42,11.73,3.85,IHS3_1247 ,IHS3_1247 -> IDT893  ,29.32,9.64,80318.49,1,,,,,,
P1ILV56    ,1,0.42,4.37,0.89,IHS3_1247 ,IHS3_1247 -> IDT893  ,10.92,2.22,32399.24,1,,,,,,
P1ILV57    ,3,0.42,173.1,35.15,IHS3_1247 ,IHS3_1247 -> IDT893  ,432.76,87.88,1361506,1,,,,,,
P1ILV58    ,3,0.42,161.15,32.72,IHS3_1247 ,IHS3_1247 -> IDT893  ,402.87,81.81,1224860,1,,,,,,
P1ILV59    ,1,0.42,9.38,1.9,IHS1_1247 ,IHS1_1247 -> IDT1478 ,23.44,4.76,69539.56,1,,,,,,
P1ILV60    ,3,0.42,41.2,8.37,IHS1_1247 ,IHS1_1247 -> IDT1478 ,103,20.92,454771.4,1,,,,,,
P1ILV61    ,3,0.42,35.59,11.7,IHS1_1247 ,IHS1_1247 -> IDT1478 ,88.97,29.24,243743,1,,,,,,
P1ILV62    ,3,0.42,177.46,36.04,IHS1_1247 ,IHS1_1247 -> IDT1478 ,443.66,90.09,1411339,1,,,,,,
P1ILV63    ,3,0.42,121.78,24.73,IHS3_1247 ,IHS3_1247 -> IDT893  ,304.45,61.82,1588692,1,,,,,,
P1ILV64    ,1,0.42,6.77,1.37,IHS3_1247 ,IHS3_1247 -> IDT893  ,16.93,3.44,74741.43,1,,,,,,
P1ILV65    ,3,0.42,43.65,8.86,IHS3_1247 ,IHS3_1247 -> IDT893  ,109.12,22.16,498100.7,1,,,,,,
P1ILV66    ,3,0.42,162.38,32.97,IHS3_1247 ,IHS3_1247 -> IDT893  ,405.95,82.43,2185635,1,,,,,,
P1ILV67    ,1,0.42,11.42,3.75,IHS3_1247 ,IHS3_1247 -> IDT1334 ,28.55,9.39,187595.6,1,,,,,,
P1ILV68    ,3,0.42,34.48,7,IHS3_1247 ,IHS3_1247 -> IDT893  ,86.19,17.5,228660.8,1,,,,,,
P1ILV69    ,1,0.42,4.88,1.6,IHS2_1247 ,IHS2_1247 -> IDT486  ,12.19,4.01,33395.59,1,,,,,,
P1ILV70    ,1,0.42,9.23,3.03,IHS2_1247 ,IHS2_1247 -> IDT486  ,23.06,7.58,151531.5,1,,,,,,
P1ILV71    ,1,0.42,4.91,1.61,IHS2_1247 ,IHS2_1247 -> IDT486  ,12.27,4.03,33620.26,1,,,,,,
P1ILV72    ,1,0.42,14.26,4.69,IHS2_1247 ,IHS2_1247 -> IDT486  ,35.65,11.72,234189.4,1,,,,,,
P1ILV73    ,1,0.42,13.93,2.83,IHS2_1247 ,IHS2_1247 -> IDT486  ,34.83,7.07,103323.6,1,,,,,,
P1ILV74    ,1,0.42,13.19,2.68,IHS2_1247 ,IHS2_1247 -> IDT486  ,32.98,6.7,97818.17,1,,,,,,
P1ILV75    ,1,0.42,9.46,1.92,IHS2_1247 ,IHS2_1247 -> IDT486  ,23.66,4.8,70175.33,1,,,,,,
P1ILV75    ,1,0.42,12.6,2.56,IHS2_1247 ,IHS2_1247 -> IDT486  ,31.51,6.4,93478.89,1,,,,,,
P1ILV77    ,1,0.42,11.62,2.36,IHS2_1247 ,IHS2_1247 -> IDT486  ,29.04,5.9,86159.28,1,,,,,,
P1ILV78    ,1,0.42,12.01,2.44,IHS2_1247 ,IHS2_1247 -> IDT486  ,30.03,6.1,89075.8,1,,,,,,
P1ILV79    ,1,0.42,9.55,1.94,IHS2_1247 ,IHS2_1247 -> IDT486  ,23.87,4.85,70804.22,1,,,,,,
P1ILV80    ,1,0.42,11.52,2.34,IHS2_1247 ,IHS2_1247 -> IDT486  ,28.79,5.85,85412.98,1,,,,,,
P1ILV81    ,1,0.42,9.81,1.99,IHS2_1247 ,IHS2_1247 -> IDT486  ,24.53,4.98,72770.7,1,,,,,,
P1ILV82    ,1,0.42,11.68,2.37,IHS2_1247 ,IHS2_1247 -> IDT486  ,29.19,5.93,86602.15,1,,,,,,
P1ILV83    ,1,0.42,11.99,2.43,IHS2_1247 ,IHS2_1247 -> IDT486  ,29.98,6.09,88926.12,1,,,,,,
P1ILV84    ,1,0.42,11.06,2.25,IHS2_1247 ,IHS2_1247 -> IDT486  ,27.65,5.62,82035.74,1,,,,,,
P1ILV85    ,1,0.42,11.64,2.36,IHS2_1247 ,IHS2_1247 -> IDT486  ,29.1,5.91,86317.12,1,,,,,,
P1ILV86    ,1,0.42,12.37,2.51,IHS2_1247 ,IHS2_1247 -> IDT486  ,30.92,6.28,91728.35,1,,,,,,
P1ILV87    ,1,0.42,10.17,2.06,IHS2_1247 ,IHS2_1247 -> IDT486  ,25.42,5.16,75400.13,1,,,,,,
P1ILV88    ,1,0.42,12.23,2.48,IHS2_1247 ,IHS2_1247 -> IDT486  ,30.57,6.21,90693.01,1,,,,,,
P1ILV89    ,1,0.42,10.86,2.21,IHS2_1247 ,IHS2_1247 -> IDT486  ,27.15,5.51,80538.21,1,,,,,,
P1ILV90    ,1,0.42,11.98,2.43,IHS2_1247 ,IHS2_1247 -> IDT486  ,29.94,6.08,88809.04,1,,,,,,
P1ILV91    ,1,0.42,9.69,1.97,IHS2_1247 ,IHS2_1247 -> IDT486  ,24.23,4.92,71883.91,1,,,,,,
P1ILV91    ,1,0.42,11.99,2.43,IHS2_1247 ,IHS2_1247 -> IDT486  ,29.96,6.08,88882.8,1,,,,,,
P1ILV93    ,1,0.42,11.44,2.32,IHS2_1247 ,IHS2_1247 -> IDT486  ,28.59,5.81,84820.65,1,,,,,,
P1ILV94    ,1,0.42,11.65,2.37,IHS2_1247 ,IHS2_1247 -> IDT486  ,29.12,5.91,86384.55,1,,,,,,
P1ILV95    ,1,0.42,10.32,2.09,IHS2_1247 ,IHS2_1247 -> IDT486  ,25.79,5.24,76507.8,1,,,,,,
P1ILV96    ,1,0.42,11.16,2.27,IHS2_1247 ,IHS2_1247 -> IDT486  ,27.9,5.67,82761.59,1,,,,,,
P1ILV97    ,1,0.42,13.74,2.79,IHS2_1247 ,IHS2_1247 -> IDT486  ,34.36,6.98,101913.3,1,,,,,,
P1ILV98    ,1,0.42,12.44,2.53,IHS2_1247 ,IHS2_1247 -> IDT486  ,31.11,6.32,92275.17,1,,,,,,
P1ILV99    ,1,0.42,11.19,2.27,IHS2_1247 ,IHS2_1247 -> IDT486  ,27.97,5.68,82985.02,1,,,,,,
P1ILV100   ,1,0.42,13.59,2.76,IHS2_1247 ,IHS2_1247 -> IDT486  ,33.97,6.9,100782.8,1,,,,,,
P1ILV101   ,1,0.42,9.97,2.02,IHS2_1247 ,IHS2_1247 -> IDT486  ,24.92,5.06,73930.98,1,,,,,,
P1ILV102   ,1,0.42,11.38,2.31,IHS2_1247 ,IHS2_1247 -> IDT486  ,28.46,5.78,84415.14,1,,,,,,
P1ILV103   ,1,0.42,10.32,2.09,IHS2_1247 ,IHS2_1247 -> IDT486  ,25.79,5.24,76510.96,1,,,,,,
P1ILV103   ,1,0.42,12.21,2.48,IHS2_1247 ,IHS2_1247 -> IDT486  ,30.52,6.2,90546.7,1,,,,,,
P1ILV105   ,1,0.42,11.79,2.39,IHS2_1247 ,IHS2_1247 -> IDT486  ,29.47,5.98,87429.72,1,,,,,,
P1ILV106   ,1,0.42,12.13,2.46,IHS2_1247 ,IHS2_1247 -> IDT486  ,30.32,6.16,89948.06,1,,,,,,
P1ILV106   ,1,0.42,10.31,2.09,IHS2_1247 ,IHS2_1247 -> IDT486  ,25.78,5.23,76464.24,1,,,,,,
P1ILV108   ,1,0.42,11.97,2.43,IHS2_1247 ,IHS2_1247 -> IDT486  ,29.93,6.08,88791.34,1,,,,,,
P1ILV109   ,1,0.42,10.31,2.09,IHS2_1247 ,IHS2_1247 -> IDT486  ,25.77,5.23,76451.54,1,,,,,,
P1ILV110   ,1,0.42,12.09,2.45,IHS2_1247 ,IHS2_1247 -> IDT486  ,30.22,6.14,89649.48,1,,,,,,
P1ILV111   ,1,0.42,12.26,2.49,IHS2_1247 ,IHS2_1247 -> IDT486  ,30.64,6.22,90888.23,1,,,,,,
P1ILV112   ,1,0.42,11.03,2.24,IHS2_1247 ,IHS2_1247 -> IDT486  ,27.57,5.6,81798.66,1,,,,,,
P1ILV113   ,1,0.42,10.58,2.15,IHS2_1247 ,IHS2_1247 -> IDT486  ,26.45,5.37,78457.92,1,,,,,,
P1ILV114   ,1,0.42,11.61,2.36,IHS2_1247 ,IHS2_1247 -> IDT486  ,29.02,5.89,86085.82,1,,,,,,
P1ILV115   ,1,0.42,10.56,2.15,IHS2_1247 ,IHS2_1247 -> IDT486  ,26.41,5.36,78344.98,1,,,,,,
P1ILV116   ,1,0.42,11.37,2.31,IHS2_1247 ,IHS2_1247 -> IDT486  ,28.44,5.77,84350.28,1,,,,,,
P1ILV117   ,1,0.42,10.4,2.11,IHS2_1247 ,IHS2_1247 -> IDT486  ,26,5.28,77119.95,1,,,,,,
P1ILV117   ,1,0.42,10.5,2.13,IHS2_1247 ,IHS2_1247 -> IDT486  ,26.26,5.33,77903.59,1,,,,,,
P1ILV119   ,1,0.42,10.97,2.23,IHS2_1247 ,IHS2_1247 -> IDT486  ,27.44,5.57,81385.43,1,,,,,,
P1ILV120   ,1,0.42,12.49,2.54,IHS2_1247 ,IHS2_1247 -> IDT486  ,31.23,6.34,92653.1,1,,,,,,
P1ILV121   ,1,0.42,10.03,2.04,IHS2_1247 ,IHS2_1247 -> IDT486  ,25.07,5.09,74378.5,1,,,,,,
P1ILV122   ,1,0.42,10.54,2.14,IHS2_1247 ,IHS2_1247 -> IDT486  ,26.34,5.35,78138.18,1,,,,,,
P1ILV123   ,1,0.42,11.59,2.35,IHS2_1247 ,IHS2_1247 -> IDT486  ,28.98,5.89,85974.73,1,,,,,,
P1ILV124   ,1,0.42,12,2.44,IHS2_1247 ,IHS2_1247 -> IDT486  ,29.99,6.09,88976.71,1,,,,,,
P1ILV125   ,1,0.42,10.62,2.16,IHS2_1247 ,IHS2_1247 -> IDT486  ,26.55,5.39,78763.75,1,,,,,,
P1ILV126   ,1,0.42,10.64,2.16,IHS2_1247 ,IHS2_1247 -> IDT486  ,26.61,5.4,78938.75,1,,,,,,
P1ILV126   ,1,0.42,10.26,2.08,IHS2_1247 ,IHS2_1247 -> IDT486  ,25.64,5.21,76055.04,1,,,,,,
P1ILV128   ,1,0.42,12.75,2.59,IHS2_1247 ,IHS2_1247 -> IDT486  ,31.87,6.47,94530.82,1,,,,,,
P1ILV129   ,1,0.42,13.78,2.8,IHS2_1247 ,IHS2_1247 -> IDT486  ,34.46,7,102220.7,1,,,,,,
P1ILV130   ,1,0.42,13.85,2.81,IHS2_1247 ,IHS2_1247 -> IDT486  ,34.61,7.03,102679.9,1,,,,,,
P1ILV130   ,1,0.42,11.18,2.27,IHS2_1247 ,IHS2_1247 -> IDT486  ,27.95,5.68,82918.75,1,,,,,,
P1ILV132   ,1,0.42,13.75,2.79,IHS2_1247 ,IHS2_1247 -> IDT486  ,34.39,6.98,102003.9,1,,,,,,
P1ILV133   ,1,0.42,18.73,3.8,IHS4_1247 ,IHS4_1247 -> IDT275  ,46.82,9.51,138883.9,1,,,,,,
P1ILV134   ,1,0.42,18.66,3.79,IHS4_1247 ,IHS4_1247 -> IDT275  ,46.64,9.47,138354.2,1,,,,,,
P1ILV135   ,1,0.42,18.46,3.75,IHS4_1247 ,IHS4_1247 -> IDT275  ,46.15,9.37,136908.6,1,,,,,,
P1ILV136   ,1,0.42,19.35,3.93,IHS4_1247 ,IHS4_1247 -> IDT275  ,48.38,9.82,143517.4,1,,,,,,
P1ILV137   ,3,0.42,20.57,4.18,IHS4_1247 ,IHS4_1247 -> IDT275  ,51.43,10.44,152566.4,1,,,,,,
P1ILV138   ,3,0.42,22.02,4.47,IHS4_1247 ,IHS4_1247 -> IDT275  ,55.06,11.18,163326.7,1,,,,,,
P1ILV139   ,3,0.42,21.76,4.42,IHS4_1247 ,IHS4_1247 -> IDT275  ,54.39,11.05,161356.1,1,,,,,,
P1ILV140   ,3,0.42,23.11,4.69,IHS4_1247 ,IHS4_1247 -> IDT275  ,57.77,11.73,171367.5,1,,,,,,
P1ILV141   ,1,0.42,18.91,3.84,IHS4_1247 ,IHS4_1247 -> IDT275  ,47.27,9.6,140218.6,1,,,,,,
P1ILV142   ,3,0.42,19.66,3.99,IHS4_1247 ,IHS4_1247 -> IDT275  ,49.15,9.98,145812.5,1,,,,,,
P1ILV143   ,1,0.42,18.55,3.77,IHS4_1247 ,IHS4_1247 -> IDT275  ,46.38,9.42,137580.8,1,,,,,,
P1ILV144   ,1,0.42,19.35,3.93,IHS4_1247 ,IHS4_1247 -> IDT275  ,48.37,9.82,143493,1,,,,,,
P1ILV145   ,1,0.42,19.18,3.89,IHS4_1247 ,IHS4_1247 -> IDT275  ,47.95,9.74,142247,1,,,,,,
P1ILV146   ,3,0.42,19.83,4.03,IHS4_1247 ,IHS4_1247 -> IDT275  ,49.58,10.07,147073.1,1,,,,,,
P1ILV147   ,1,0.42,17.81,3.62,IHS4_1247 ,IHS4_1247 -> IDT275  ,44.52,9.04,132052.7,1,,,,,,
P1ILV148   ,1,0.42,18.97,3.85,IHS4_1247 ,IHS4_1247 -> IDT275  ,47.42,9.63,140680.6,1,,,,,,
P1ILV149   ,1,0.42,18.97,3.85,IHS4_1247 ,IHS4_1247 -> IDT275  ,47.44,9.63,140717.5,1,,,,,,
P1ILV150   ,3,0.42,19.62,3.98,IHS4_1247 ,IHS4_1247 -> IDT275  ,49.04,9.96,145466.5,1,,,,,,
P1ILV151U  ,3,12.47,18.74,3.81,IHS4_1247 ,IHS4_1247 -> IDT275  ,46.85,9.51,138991.1,1,,,,,,
P1ILV151U  ,3,12.47,19.44,3.95,IHS4_1247 ,IHS4_1247 -> IDT275  ,48.61,9.87,144203.3,1,,,,,,
P1ILV153   ,1,0.42,17.54,3.56,IHS4_1247 ,IHS4_1247 -> IDT275  ,43.85,8.9,130082.8,1,,,,,,
P1ILV154   ,1,0.42,15.2,3.09,IHS4_1247 ,IHS4_1247 -> IDT275  ,37.99,7.71,112693.1,1,,,,,,
P1ILV155   ,1,0.42,16.88,3.43,IHS4_1247 ,IHS4_1247 -> IDT275  ,42.2,8.57,125193,1,,,,,,
P1ILV156   ,3,0.42,19.81,4.02,IHS4_1247 ,IHS4_1247 -> IDT275  ,49.53,10.06,218669.5,1,,,,,,
P1ILV157   ,1,0.42,12.59,2.56,IHS4_1247 ,IHS4_1247 -> IDT275  ,31.46,6.39,93337.84,1,,,,,,
P1ILV158   ,1,0.42,11.83,2.4,IHS4_1247 ,IHS4_1247 -> IDT275  ,29.56,6,87696.8,1,,,,,,
P1ILV159   ,1,0.42,12.48,2.53,IHS4_1247 ,IHS4_1247 -> IDT275  ,31.2,6.34,92565.43,1,,,,,,
P1ILV160   ,1,0.42,13.5,2.74,IHS4_1247 ,IHS4_1247 -> IDT275  ,33.76,6.85,100133.4,1,,,,,,
P1ILV161   ,1,0.42,12.9,2.62,IHS4_1247 ,IHS4_1247 -> IDT275  ,32.26,6.55,95686.61,1,,,,,,
P1ILV162   ,1,0.42,11.97,2.43,IHS4_1247 ,IHS4_1247 -> IDT275  ,29.92,6.08,88756.57,1,,,,,,
P1ILV162   ,1,0.42,13.8,2.8,IHS4_1247 ,IHS4_1247 -> IDT275  ,34.5,7.01,102337,1,,,,,,
P1ILV164   ,1,0.42,16.07,3.26,IHS4_1247 ,IHS4_1247 -> IDT275  ,40.16,8.16,119138.6,1,,,,,,
P1ILV165   ,1,0.42,16.55,3.36,IHS4_1247 ,IHS4_1247 -> IDT275  ,41.37,8.4,122733.1,1,,,,,,
P1ILV166   ,1,0.42,6.13,1.25,IHS4_1247 ,IHS4_1247 -> IDT275  ,15.33,3.11,45470.57,1,,,,,,
P1ILV167   ,1,0.42,4.59,0.93,IHS4_1247 ,IHS4_1247 -> IDT275  ,11.46,2.33,34009.65,1,,,,,,
P1ILV167   ,1,0.42,6.28,1.27,IHS4_1247 ,IHS4_1247 -> IDT275  ,15.69,3.19,46549.65,1,,,,,,
P1ILV169   ,1,0.42,4.66,0.95,IHS4_1247 ,IHS4_1247 -> IDT275  ,11.64,2.36,34528.54,1,,,,,,
P1ILV170   ,1,0.42,4.49,0.91,IHS4_1247 ,IHS4_1247 -> IDT275  ,11.22,2.28,33295.08,1,,,,,,
P1ILV170   ,1,0.42,4.29,0.87,IHS4_1247 ,IHS4_1247 -> IDT275  ,10.73,2.18,31839.83,1,,,,,,
P1ILV172   ,1,0.42,4.16,0.84,IHS4_1247 ,IHS4_1247 -> IDT275  ,10.39,2.11,30835.1,1,,,,,,
P1ILV172   ,1,0.42,4.03,0.82,IHS4_1247 ,IHS4_1247 -> IDT275  ,10.08,2.05,29900.12,1,,,,,,
P1ILV174   ,1,0.42,4.13,0.84,IHS4_1247 ,IHS4_1247 -> IDT275  ,10.32,2.1,30620.62,1,,,,,,
P1ILV175   ,1,0.42,4.88,0.99,IHS4_1247 ,IHS4_1247 -> IDT275  ,12.19,2.48,36158.46,1,,,,,,
P1ILV176   ,1,0.42,4.06,0.82,IHS4_1247 ,IHS4_1247 -> IDT275  ,10.15,2.06,30106.13,1,,,,,,
P1ILV177   ,1,0.42,4.4,0.89,IHS4_1247 ,IHS4_1247 -> IDT275  ,10.99,2.23,32604.96,1,,,,,,
P1ILV178   ,1,0.42,4.98,1.01,IHS4_1247 ,IHS4_1247 -> IDT275  ,12.46,2.53,36959.24,1,,,,,,
P1ILV179   ,1,0.42,4.36,0.89,IHS4_1247 ,IHS4_1247 -> IDT275  ,10.91,2.22,32368.18,1,,,,,,
P1ILV180   ,1,0.42,4.52,0.92,IHS4_1247 ,IHS4_1247 -> IDT275  ,11.31,2.3,33555.13,1,,,,,,
P1ILV180   ,1,0.42,5.44,1.11,IHS4_1247 ,IHS4_1247 -> IDT275  ,13.61,2.76,40372.75,1,,,,,,
P1ILV182   ,1,0.42,5.14,1.04,IHS4_1247 ,IHS4_1247 -> IDT275  ,12.85,2.61,38105.09,1,,,,,,
P1ILV183   ,1,0.42,6.13,1.25,IHS4_1247 ,IHS4_1247 -> IDT275  ,15.34,3.11,45493.51,1,,,,,,
P1ILV184   ,1,0.42,4.32,0.88,IHS4_1247 ,IHS4_1247 -> IDT275  ,10.81,2.19,32059.82,1,,,,,,
P1ILV185   ,1,0.42,4.85,0.98,IHS4_1247 ,IHS4_1247 -> IDT275  ,12.12,2.46,35945.07,1,,,,,,
P1ILV185   ,1,0.42,4.25,0.86,IHS4_1247 ,IHS4_1247 -> IDT275  ,10.64,2.16,31551.54,1,,,,,,
P1ILV187   ,1,0.42,5.09,1.03,IHS4_1247 ,IHS4_1247 -> IDT275  ,12.73,2.58,37758.63,1,,,,,,
P1ILV188   ,1,0.42,5.84,1.18,IHS4_1247 ,IHS4_1247 -> IDT275  ,14.59,2.96,43273.12,1,,,,,,
P1ILV189   ,1,0.42,4.33,0.88,IHS4_1247 ,IHS4_1247 -> IDT275  ,10.82,2.2,32086.21,1,,,,,,
P1ILV190   ,1,0.42,5.36,1.09,IHS4_1247 ,IHS4_1247 -> IDT275  ,13.41,2.72,39781.08,1,,,,,,
P1ILV191   ,1,0.42,5.45,1.11,IHS4_1247 ,IHS4_1247 -> IDT275  ,13.63,2.77,40443.44,1,,,,,,
P1ILV192   ,1,0.42,4.09,0.83,IHS4_1247 ,IHS4_1247 -> IDT275  ,10.22,2.07,30309.74,1,,,,,,
P1ILV193   ,1,0.42,3.15,0.64,IHS4_1247 ,IHS4_1247 -> IDT275  ,7.88,1.6,23388.34,1,,,,,,
P1ILV194   ,1,0.42,3.36,0.68,IHS4_1247 ,IHS4_1247 -> IDT275  ,8.4,1.71,24913.87,1,,,,,,
