Node,Subest,Feeder,
IDM184    ,IHS4_1247 ,IHS4_1247 -> IDT275  ,
IDM186    ,IHS4_1247 ,IHS4_1247 -> IDT275  ,
IDM188    ,IHS4_1247 ,IHS4_1247 -> IDT275  ,
IDM189    ,IHS4_1247 ,IHS4_1247 -> IDT275  ,
IDM190    ,IHS4_1247 ,IHS4_1247 -> IDT275  ,
IDM191    ,IHS4_1247 ,IHS4_1247 -> IDT275  ,
IDM192    ,IHS4_1247 ,IHS4_1247 -> IDT275  ,
IDM194    ,IHS4_1247 ,IHS4_1247 -> IDT275  ,
IDM195    ,IHS4_1247 ,IHS4_1247 -> IDT275  ,
IDM196    ,IHS4_1247 ,IHS4_1247 -> IDT275  ,
IDM197    ,IHS4_1247 ,IHS4_1247 -> IDT275  ,
IDM199    ,IHS4_1247 ,IHS4_1247 -> IDT275  ,
IDM200    ,IHS4_1247 ,IHS4_1247 -> IDT275  ,
IDM202    ,IHS4_1247 ,IHS4_1247 -> IDT275  ,
IDM206    ,IHS4_1247 ,IHS4_1247 -> IDT275  ,
IDM207    ,IHS4_1247 ,IHS4_1247 -> IDT275  ,
IDM210    ,IHS4_1247 ,IHS4_1247 -> IDT275  ,
IDM213    ,IHS4_1247 ,IHS4_1247 -> IDT275  ,
IDM217    ,IHS4_1247 ,IHS4_1247 -> IDT275  ,
IDM219    ,IHS4_1247 ,IHS4_1247 -> IDT275  ,
IDM221    ,IHS2_1247 ,IHS2_1247 -> IDT486  ,
IDM224    ,IHS4_1247 ,IHS4_1247 -> IDT275  ,
IDM226    ,IHS4_1247 ,IHS4_1247 -> IDT275  ,
IDM230    ,IHS4_1247 ,IHS4_1247 -> IDT275  ,
IDM235    ,IHS4_1247 ,IHS4_1247 -> IDT194  ,
IDM236    ,IHS4_1247 ,IHS4_1247 -> IDT194  ,
IDM240    ,IHS3_1247 ,IHS3_1247 -> IDT226  ,
IDM242    ,IHS3_1247 ,IHS3_1247 -> IDT226  ,
IDM245    ,IHS3_1247 ,IHS3_1247 -> IDT226  ,
IDM247    ,IHS3_1247 ,IHS3_1247 -> IDT226  ,
IDM249    ,IHS3_1247 ,IHS3_1247 -> IDT226  ,
IDM253    ,IHS3_1247 ,IHS3_1247 -> IDT226  ,
IDM256    ,IHS1_1247 ,IHS1_1247 -> IDT670  ,
IDM257    ,IHS1_1247 ,IHS1_1247 -> IDT670  ,
IDM261    ,IHS1_1247 ,IHS1_1247 -> IDT670  ,
IDM262    ,IHS1_1247 ,IHS1_1247 -> IDT670  ,
IDM264    ,IHS1_1247 ,IHS1_1247 -> IDT670  ,
IDM265    ,IHS1_1247 ,IHS1_1247 -> IDT670  ,
IDM266    ,IHS1_1247 ,IHS1_1247 -> IDT670  ,
IDM272    ,IHS1_1247 ,IHS1_1247 -> IDT670  ,
IDM273    ,IHS1_1247 ,IHS1_1247 -> IDT670  ,
IDM274    ,IHS1_1247 ,IHS1_1247 -> IDT670  ,
IDM275    ,IHS1_1247 ,IHS1_1247 -> IDT670  ,
IDM276    ,IHS1_1247 ,IHS1_1247 -> IDT670  ,
IDM277    ,IHS1_1247 ,IHS1_1247 -> IDT670  ,
IDM278    ,IHS1_1247 ,IHS1_1247 -> IDT670  ,
IDM280    ,IHS1_1247 ,IHS1_1247 -> IDT670  ,
IDM283    ,IHS1_1247 ,IHS1_1247 -> IDT670  ,
IDM284    ,IHS1_1247 ,IHS1_1247 -> IDT670  ,
IDM287    ,IHS1_1247 ,IHS1_1247 -> IDT670  ,
IDM295    ,IHS4_1247 ,IHS4_1247 -> IDT1592 ,
IDM297    ,IHS4_1247 ,IHS4_1247 -> IDT1592 ,
IDM300    ,IHS4_1247 ,IHS4_1247 -> IDT1592 ,
IDM302    ,IHS4_1247 ,IHS4_1247 -> IDT1592 ,
IDM306    ,IHS4_1247 ,IHS4_1247 -> IDT1592 ,
IDM310    ,IHS4_1247 ,IHS4_1247 -> IDT1592 ,
IDM313    ,IHS4_1247 ,IHS4_1247 -> IDT1592 ,
IDM315    ,IHS4_1247 ,IHS4_1247 -> IDT1592 ,
IDM317    ,IHS4_1247 ,IHS4_1247 -> IDT1592 ,
IDM318    ,IHS4_1247 ,IHS4_1247 -> IDT1592 ,
IDM319    ,IHS4_1247 ,IHS4_1247 -> IDT1592 ,
IDM322    ,IHS4_1247 ,IHS4_1247 -> IDT1592 ,
IDM323    ,IHS4_1247 ,IHS4_1247 -> IDT1592 ,
IDM324    ,IHS4_1247 ,IHS4_1247 -> IDT1592 ,
IDM326    ,IHS4_1247 ,IHS4_1247 -> IDT1592 ,
IDM328    ,IHS4_1247 ,IHS4_1247 -> IDT1592 ,
IDM332    ,IHS4_1247 ,IHS4_1247 -> IDT1592 ,
IDM334    ,IHS4_1247 ,IHS4_1247 -> IDT1592 ,
IDM337    ,IHS4_1247 ,IHS4_1247 -> IDT275  ,
IDM339    ,IHS4_1247 ,IHS4_1247 -> IDT275  ,
IDM343    ,IHS4_1247 ,IHS4_1247 -> IDT275  ,
IDM346    ,IHS4_1247 ,IHS4_1247 -> IDT275  ,
IDM348    ,IHS4_1247 ,IHS4_1247 -> IDT275  ,
IDM349    ,IHS4_1247 ,IHS4_1247 -> IDT275  ,
IDM352    ,IHS4_1247 ,IHS4_1247 -> IDT275  ,
IDM354    ,IHS4_1247 ,IHS4_1247 -> IDT275  ,
IDM356    ,IHS4_1247 ,IHS4_1247 -> IDT275  ,
IDM358    ,IHS4_1247 ,IHS4_1247 -> IDT275  ,
IDM359    ,IHS4_1247 ,IHS4_1247 -> IDT275  ,
IDM361    ,IHS4_1247 ,IHS4_1247 -> IDT275  ,
IDM364    ,IHS4_1247 ,IHS4_1247 -> IDT275  ,
IDM365    ,IHS4_1247 ,IHS4_1247 -> IDT275  ,
IDM367    ,IHS4_1247 ,IHS4_1247 -> IDT275  ,
IDM368    ,IHS4_1247 ,IHS4_1247 -> IDT275  ,
IDM369    ,IHS4_1247 ,IHS4_1247 -> IDT275  ,
IDM370    ,IHS4_1247 ,IHS4_1247 -> IDT275  ,
IDM372    ,IHS4_1247 ,IHS4_1247 -> IDT275  ,
IDM373    ,IHS4_1247 ,IHS4_1247 -> IDT275  ,
IDM374    ,IHS4_1247 ,IHS4_1247 -> IDT275  ,
IDM376    ,IHS4_1247 ,IHS4_1247 -> IDT275  ,
IDM381    ,IHS4_1247 ,IHS4_1247 -> IDT275  ,
IDM383    ,IHS4_1247 ,IHS4_1247 -> IDT275  ,
IDM386    ,IHS4_1247 ,IHS4_1247 -> IDT275  ,
IDM387    ,IHS4_1247 ,IHS4_1247 -> IDT275  ,
IDM389    ,IHS4_1247 ,IHS4_1247 -> IDT275  ,
IDM391    ,IHS4_1247 ,IHS4_1247 -> IDT275  ,
IDM396    ,IHS4_1247 ,IHS4_1247 -> IDT275  ,
IDM397    ,IHS4_1247 ,IHS4_1247 -> IDT275  ,
IDM399    ,IHS4_1247 ,IHS4_1247 -> IDT275  ,
IDM400    ,IHS4_1247 ,IHS4_1247 -> IDT275  ,
IDM404    ,IHS4_1247 ,IHS4_1247 -> IDT275  ,
IDM407    ,IHS4_1247 ,IHS4_1247 -> IDT275  ,
IDM408    ,IHS4_1247 ,IHS4_1247 -> IDT275  ,
IDM411    ,IHS4_1247 ,IHS4_1247 -> IDT275  ,
IDM414    ,IHS4_1247 ,IHS4_1247 -> IDT275  ,
IDM415    ,IHS4_1247 ,IHS4_1247 -> IDT275  ,
IDM416    ,IHS4_1247 ,IHS4_1247 -> IDT275  ,
IDM418    ,IHS4_1247 ,IHS4_1247 -> IDT275  ,
IDM419    ,IHS4_1247 ,IHS4_1247 -> IDT275  ,
IDM420    ,IHS4_1247 ,IHS4_1247 -> IDT275  ,
IDM422    ,IHS4_1247 ,IHS4_1247 -> IDT275  ,
IDM424    ,IHS4_1247 ,IHS4_1247 -> IDT275  ,
IDM425    ,IHS4_1247 ,IHS4_1247 -> IDT275  ,
IDM429    ,IHS4_1247 ,IHS4_1247 -> IDT275  ,
IDM430    ,IHS4_1247 ,IHS4_1247 -> IDT275  ,
IDM431    ,IHS4_1247 ,IHS4_1247 -> IDT275  ,
IDM432    ,IHS4_1247 ,IHS4_1247 -> IDT275  ,
IDM435    ,IHS4_1247 ,IHS4_1247 -> IDT275  ,
IDM437    ,IHS4_1247 ,IHS4_1247 -> IDT275  ,
IDM439    ,IHS4_1247 ,IHS4_1247 -> IDT275  ,
IDM440    ,IHS4_1247 ,IHS4_1247 -> IDT275  ,
IDM442    ,IHS4_1247 ,IHS4_1247 -> IDT275  ,
IDM443    ,IHS4_1247 ,IHS4_1247 -> IDT275  ,
IDM445    ,IHS4_1247 ,IHS4_1247 -> IDT275  ,
IDM446    ,IHS4_1247 ,IHS4_1247 -> IDT275  ,
IDM447    ,IHS4_1247 ,IHS4_1247 -> IDT275  ,
IDM448    ,IHS4_1247 ,IHS4_1247 -> IDT275  ,
IDM449    ,IHS4_1247 ,IHS4_1247 -> IDT275  ,
IDM451    ,IHS4_1247 ,IHS4_1247 -> IDT194  ,
IDM453    ,IHS4_1247 ,IHS4_1247 -> IDT194  ,
IDM454    ,IHS4_1247 ,IHS4_1247 -> IDT194  ,
IDM455    ,IHS4_1247 ,IHS4_1247 -> IDT1592 ,
IDM456    ,IHS4_1247 ,IHS4_1247 -> IDT1592 ,
IDM457    ,IHS4_1247 ,IHS4_1247 -> IDT1592 ,
IDM458    ,IHS4_1247 ,IHS4_1247 -> IDT1592 ,
IDM459    ,IHS4_1247 ,IHS4_1247 -> IDT194  ,
IDM460    ,IHS4_1247 ,IHS4_1247 -> IDT194  ,
IDM461    ,IHS4_1247 ,IHS4_1247 -> IDT194  ,
IDM464    ,IHS4_1247 ,IHS4_1247 -> IDT194  ,
IDM466    ,IHS4_1247 ,IHS4_1247 -> IDT194  ,
IDM470    ,IHS4_1247 ,IHS4_1247 -> IDT194  ,
IDM473    ,IHS4_1247 ,IHS4_1247 -> IDT194  ,
IDM475    ,IHS4_1247 ,IHS4_1247 -> IDT194  ,
IDM476    ,IHS4_1247 ,IHS4_1247 -> IDT1592 ,
IDM478    ,IHS4_1247 ,IHS4_1247 -> IDT194  ,
IDM480    ,IHS4_1247 ,IHS4_1247 -> IDT194  ,
IDM483    ,IHS4_1247 ,IHS4_1247 -> IDT194  ,
IDM485    ,IHS4_1247 ,IHS4_1247 -> IDT194  ,
IDM486    ,IHS4_1247 ,IHS4_1247 -> IDT194  ,
IDM488    ,IHS4_1247 ,IHS4_1247 -> IDT194  ,
IDM489    ,IHS4_1247 ,IHS4_1247 -> IDT194  ,
IDM490    ,IHS4_1247 ,IHS4_1247 -> IDT194  ,
IDM492    ,IHS4_1247 ,IHS4_1247 -> IDT194  ,
IDM496    ,IHS4_1247 ,IHS4_1247 -> IDT194  ,
IDM499    ,IHS4_1247 ,IHS4_1247 -> IDT194  ,
IDM500    ,IHS4_1247 ,IHS4_1247 -> IDT194  ,
IDM501    ,IHS4_1247 ,IHS4_1247 -> IDT194  ,
IDM504    ,IHS4_1247 ,IHS4_1247 -> IDT194  ,
IDM505    ,IHS4_1247 ,IHS4_1247 -> IDT194  ,
IDM506    ,IHS4_1247 ,IHS4_1247 -> IDT194  ,
IDM507    ,IHS4_1247 ,IHS4_1247 -> IDT194  ,
IDM508    ,IHS4_1247 ,IHS4_1247 -> IDT194  ,
IDM509    ,IHS4_1247 ,IHS4_1247 -> IDT194  ,
IDM511    ,IHS4_1247 ,IHS4_1247 -> IDT194  ,
IDM513    ,IHS4_1247 ,IHS4_1247 -> IDT194  ,
IDM514    ,IHS4_1247 ,IHS4_1247 -> IDT194  ,
IDM515    ,IHS4_1247 ,IHS4_1247 -> IDT194  ,
IDM522    ,IHS4_1247 ,IHS4_1247 -> IDT1687 ,
IDM524    ,IHS4_1247 ,IHS4_1247 -> IDT275  ,
IDM525    ,IHS4_1247 ,IHS4_1247 -> IDT275  ,
IDM532    ,IHS3_1247 ,IHS3_1247 -> IDT226  ,
IDM534    ,IHS4_1247 ,IHS4_1247 -> IDT275  ,
IDM535    ,IHS4_1247 ,IHS4_1247 -> IDT275  ,
IDM536    ,IHS4_1247 ,IHS4_1247 -> IDT275  ,
IDM537    ,IHS4_1247 ,IHS4_1247 -> IDT275  ,
IDM548    ,IHS3_1247 ,IHS3_1247 -> IDT960  ,
IDM549    ,IHS3_1247 ,IHS3_1247 -> IDT960  ,
IDM552    ,IHS3_1247 ,IHS3_1247 -> IDT960  ,
IDM553    ,IHS3_1247 ,IHS3_1247 -> IDT960  ,
IDM554    ,IHS3_1247 ,IHS3_1247 -> IDT960  ,
IDM555    ,IHS3_1247 ,IHS3_1247 -> IDT960  ,
IDM556    ,IHS3_1247 ,IHS3_1247 -> IDT960  ,
IDM560    ,IHS4_1247 ,IHS4_1247 -> IDT275  ,
IDM561    ,IHS4_1247 ,IHS4_1247 -> IDT275  ,
IDM567    ,IHS4_1247 ,IHS4_1247 -> IDT275  ,
IDM568    ,IHS4_1247 ,IHS4_1247 -> IDT275  ,
IDM569    ,IHS4_1247 ,IHS4_1247 -> IDT275  ,
IDM570    ,IHS4_1247 ,IHS4_1247 -> IDT275  ,
IDM571    ,IHS4_1247 ,IHS4_1247 -> IDT275  ,
IDM572    ,IHS4_1247 ,IHS4_1247 -> IDT275  ,
IDM573    ,IHS4_1247 ,IHS4_1247 -> IDT275  ,
IDM575    ,IHS3_1247 ,IHS3_1247 -> IDT893  ,
IDM576    ,IHS3_1247 ,IHS3_1247 -> IDT893  ,
IDM580    ,IHS3_1247 ,IHS3_1247 -> IDT960  ,
IDM581    ,IHS3_1247 ,IHS3_1247 -> IDT960  ,
IDM583    ,IHS3_1247 ,IHS3_1247 -> IDT960  ,
IDM584    ,IHS3_1247 ,IHS3_1247 -> IDT960  ,
IDM585    ,IHS3_1247 ,IHS3_1247 -> IDT960  ,
IDM586    ,IHS3_1247 ,IHS3_1247 -> IDT960  ,
IDM587    ,IHS3_1247 ,IHS3_1247 -> IDT960  ,
IDM589    ,IHS3_1247 ,IHS3_1247 -> IDT960  ,
IDM599    ,IHS3_1247 ,IHS3_1247 -> IDT960  ,
IDM600    ,IHS3_1247 ,IHS3_1247 -> IDT960  ,
IDM601    ,IHS3_1247 ,IHS3_1247 -> IDT960  ,
IDM616    ,IHS0_1247 ,IHS0_1247 -> IDT740  ,
IDM617    ,IHS0_1247 ,IHS0_1247 -> IDT740  ,
IDM621    ,IHS0_1247 ,IHS0_1247 -> IDT740  ,
IDM623    ,IHS0_1247 ,IHS0_1247 -> IDT740  ,
IDM625    ,IHS4_1247 ,IHS4_1247 -> IDT275  ,
IDM626    ,IHS4_1247 ,IHS4_1247 -> IDT275  ,
IDM628    ,IHS4_1247 ,IHS4_1247 -> IDT275  ,
IDM630    ,IHS4_1247 ,IHS4_1247 -> IDT275  ,
IDM631    ,IHS4_1247 ,IHS4_1247 -> IDT275  ,
IDM632    ,IHS4_1247 ,IHS4_1247 -> IDT275  ,
IDM633    ,IHS4_1247 ,IHS4_1247 -> IDT275  ,
IDM634    ,IHS4_1247 ,IHS4_1247 -> IDT275  ,
IDM635    ,IHS4_1247 ,IHS4_1247 -> IDT275  ,
IDM638    ,IHS4_1247 ,IHS4_1247 -> IDT275  ,
IDM639    ,IHS4_1247 ,IHS4_1247 -> IDT275  ,
IDM643    ,IHS4_1247 ,IHS4_1247 -> IDT275  ,
IDM644    ,IHS4_1247 ,IHS4_1247 -> IDT275  ,
IDM646    ,IHS4_1247 ,IHS4_1247 -> IDT275  ,
IDM648    ,IHS4_1247 ,IHS4_1247 -> IDT275  ,
IDM649    ,IHS4_1247 ,IHS4_1247 -> IDT275  ,
IDM650    ,IHS4_1247 ,IHS4_1247 -> IDT275  ,
IDM651    ,IHS4_1247 ,IHS4_1247 -> IDT275  ,
IDM652    ,IHS4_1247 ,IHS4_1247 -> IDT275  ,
IDM653    ,IHS4_1247 ,IHS4_1247 -> IDT275  ,
IDM655    ,IHS4_1247 ,IHS4_1247 -> IDT275  ,
IDM656    ,IHS4_1247 ,IHS4_1247 -> IDT275  ,
IDM657    ,IHS4_1247 ,IHS4_1247 -> IDT275  ,
IDM658    ,IHS4_1247 ,IHS4_1247 -> IDT275  ,
IDM659    ,IHS4_1247 ,IHS4_1247 -> IDT275  ,
IDM660    ,IHS4_1247 ,IHS4_1247 -> IDT275  ,
IDM662    ,IHS4_1247 ,IHS4_1247 -> IDT275  ,
IDM663    ,IHS4_1247 ,IHS4_1247 -> IDT275  ,
IDM664    ,IHS4_1247 ,IHS4_1247 -> IDT275  ,
IDM669    ,IHS4_1247 ,IHS4_1247 -> IDT275  ,
IDM670    ,IHS4_1247 ,IHS4_1247 -> IDT275  ,
IDM671    ,IHS4_1247 ,IHS4_1247 -> IDT275  ,
IDM672    ,IHS4_1247 ,IHS4_1247 -> IDT275  ,
IDM674    ,IHS4_1247 ,IHS4_1247 -> IDT275  ,
IDM675    ,IHS4_1247 ,IHS4_1247 -> IDT275  ,
IDM678    ,IHS4_1247 ,IHS4_1247 -> IDT275  ,
IDM680    ,IHS4_1247 ,IHS4_1247 -> IDT275  ,
IDM681    ,IHS4_1247 ,IHS4_1247 -> IDT275  ,
IDM682    ,IHS4_1247 ,IHS4_1247 -> IDT275  ,
IDM684    ,IHS4_1247 ,IHS4_1247 -> IDT275  ,
IDM687    ,IHS4_1247 ,IHS4_1247 -> IDT275  ,
IDM688    ,IHS4_1247 ,IHS4_1247 -> IDT275  ,
IDM689    ,IHS4_1247 ,IHS4_1247 -> IDT275  ,
IDM690    ,IHS4_1247 ,IHS4_1247 -> IDT275  ,
IDM691    ,IHS4_1247 ,IHS4_1247 -> IDT275  ,
IDM694    ,IHS4_1247 ,IHS4_1247 -> IDT275  ,
IDM696    ,IHS4_1247 ,IHS4_1247 -> IDT275  ,
IDM697    ,IHS4_1247 ,IHS4_1247 -> IDT275  ,
IDM698    ,IHS4_1247 ,IHS4_1247 -> IDT275  ,
IDM699    ,IHS4_1247 ,IHS4_1247 -> IDT275  ,
IDM700    ,IHS4_1247 ,IHS4_1247 -> IDT275  ,
IDM702    ,IHS4_1247 ,IHS4_1247 -> IDT275  ,
IDM703    ,IHS4_1247 ,IHS4_1247 -> IDT275  ,
IDM704    ,IHS4_1247 ,IHS4_1247 -> IDT275  ,
IDM706    ,IHS4_1247 ,IHS4_1247 -> IDT275  ,
IDM707    ,IHS4_1247 ,IHS4_1247 -> IDT275  ,
IDM708    ,IHS4_1247 ,IHS4_1247 -> IDT275  ,
IDM710    ,IHS4_1247 ,IHS4_1247 -> IDT275  ,
IDM712    ,IHS4_1247 ,IHS4_1247 -> IDT275  ,
IDM714    ,IHS4_1247 ,IHS4_1247 -> IDT275  ,
IDM715    ,IHS4_1247 ,IHS4_1247 -> IDT275  ,
IDM716    ,IHS4_1247 ,IHS4_1247 -> IDT275  ,
IDM718    ,IHS4_1247 ,IHS4_1247 -> IDT1592 ,
IDM719    ,IHS4_1247 ,IHS4_1247 -> IDT1592 ,
IDM720    ,IHS4_1247 ,IHS4_1247 -> IDT1592 ,
IDM722    ,IHS4_1247 ,IHS4_1247 -> IDT1592 ,
IDM724    ,IHS4_1247 ,IHS4_1247 -> IDT1592 ,
IDM725    ,IHS4_1247 ,IHS4_1247 -> IDT1592 ,
IDM726    ,IHS4_1247 ,IHS4_1247 -> IDT1592 ,
IDM727    ,IHS4_1247 ,IHS4_1247 -> IDT1592 ,
IDM728    ,IHS4_1247 ,IHS4_1247 -> IDT1592 ,
IDM729    ,IHS4_1247 ,IHS4_1247 -> IDT1592 ,
IDM731    ,IHS4_1247 ,IHS4_1247 -> IDT1592 ,
IDM733    ,IHS4_1247 ,IHS4_1247 -> IDT1592 ,
IDM735    ,IHS4_1247 ,IHS4_1247 -> IDT1592 ,
IDM737    ,IHS4_1247 ,IHS4_1247 -> IDT1592 ,
IDM740    ,IHS4_1247 ,IHS4_1247 -> IDT1592 ,
IDM742    ,IHS4_1247 ,IHS4_1247 -> IDT1592 ,
IDM744    ,IHS4_1247 ,IHS4_1247 -> IDT1592 ,
IDM745    ,IHS4_1247 ,IHS4_1247 -> IDT1592 ,
IDM746    ,IHS4_1247 ,IHS4_1247 -> IDT1592 ,
IDM747    ,IHS4_1247 ,IHS4_1247 -> IDT1592 ,
IDM750    ,IHS4_1247 ,IHS4_1247 -> IDT1592 ,
IDM752    ,IHS4_1247 ,IHS4_1247 -> IDT1592 ,
IDM753    ,IHS4_1247 ,IHS4_1247 -> IDT1592 ,
IDM755    ,IHS4_1247 ,IHS4_1247 -> IDT1592 ,
IDM756    ,IHS4_1247 ,IHS4_1247 -> IDT1592 ,
IDM757    ,IHS4_1247 ,IHS4_1247 -> IDT1592 ,
IDM759    ,IHS4_1247 ,IHS4_1247 -> IDT1592 ,
IDM761    ,IHS4_1247 ,IHS4_1247 -> IDT1592 ,
IDM763    ,IHS4_1247 ,IHS4_1247 -> IDT1592 ,
IDM764    ,IHS4_1247 ,IHS4_1247 -> IDT1592 ,
IDM766    ,IHS4_1247 ,IHS4_1247 -> IDT1592 ,
IDM767    ,IHS4_1247 ,IHS4_1247 -> IDT1592 ,
IDM768    ,IHS4_1247 ,IHS4_1247 -> IDT1592 ,
IDM770    ,IHS4_1247 ,IHS4_1247 -> IDT1592 ,
IDM771    ,IHS4_1247 ,IHS4_1247 -> IDT1592 ,
IDM775    ,IHS4_1247 ,IHS4_1247 -> IDT1592 ,
IDM776    ,IHS4_1247 ,IHS4_1247 -> IDT1592 ,
IDM777    ,IHS4_1247 ,IHS4_1247 -> IDT1592 ,
IDM780    ,IHS4_1247 ,IHS4_1247 -> IDT1592 ,
IDM782    ,IHS4_1247 ,IHS4_1247 -> IDT1592 ,
IDM783    ,IHS4_1247 ,IHS4_1247 -> IDT1592 ,
IDM787    ,IHS4_1247 ,IHS4_1247 -> IDT1592 ,
IDM788    ,IHS4_1247 ,IHS4_1247 -> IDT1592 ,
IDM789    ,IHS4_1247 ,IHS4_1247 -> IDT1592 ,
IDM793    ,IHS4_1247 ,IHS4_1247 -> IDT1592 ,
IDM794    ,IHS4_1247 ,IHS4_1247 -> IDT1592 ,
IDM795    ,IHS4_1247 ,IHS4_1247 -> IDT1592 ,
IDM797    ,IHS4_1247 ,IHS4_1247 -> IDT1592 ,
IDM798    ,IHS4_1247 ,IHS4_1247 -> IDT1592 ,
IDM803    ,IHS4_1247 ,IHS4_1247 -> IDT1592 ,
IDM805    ,IHS4_1247 ,IHS4_1247 -> IDT1592 ,
IDM806    ,IHS4_1247 ,IHS4_1247 -> IDT1592 ,
IDM809    ,IHS4_1247 ,IHS4_1247 -> IDT1592 ,
IDM813    ,IHS4_1247 ,IHS4_1247 -> IDT1592 ,
IDM814    ,IHS4_1247 ,IHS4_1247 -> IDT1592 ,
IDM815    ,IHS4_1247 ,IHS4_1247 -> IDT1592 ,
IDM819    ,IHS3_1247 ,IHS3_1247 -> IDT960  ,
IDM820    ,IHS3_1247 ,IHS3_1247 -> IDT960  ,
IDM821    ,IHS3_1247 ,IHS3_1247 -> IDT960  ,
IDM822    ,IHS3_1247 ,IHS3_1247 -> IDT960  ,
IDM825    ,IHS3_1247 ,IHS3_1247 -> IDT893  ,
IDM826    ,IHS3_1247 ,IHS3_1247 -> IDT893  ,
IDM827    ,IHS3_1247 ,IHS3_1247 -> IDT893  ,
IDM828    ,IHS3_1247 ,IHS3_1247 -> IDT960  ,
IDM829    ,IHS3_1247 ,IHS3_1247 -> IDT960  ,
