Code,NodeA,NodeB,NomV,Len,Equip,R,X,C,R0,X0,C0,Imax,Status,Phases,PhasesV,PhasesVI,Subest,Feeder,
L(R:P1RLV15-RDM15)           ,RDM15     ,P1RLV15   ,0.42  ,0.062  ,1P_UG_AL_1/0_Brenau_0_416_0            ,0.03337 ,0.00619 ,3.26100   ,0.10273 ,0.07973  ,0.23918  ,205 ,1 ,C   ,C_LV   ,1_LV_68.3333 ,RHS1_1247 ,RHS1_1247 -> RDT137  ,
L(R:RDM15-RDT10LV)           ,RDT10LV   ,RDM15     ,0.42  ,0.029  ,1P_UG_AL_1/0_Brenau_0_416_0            ,0.01554 ,0.00288 ,1.51801   ,0.04782 ,0.03711  ,0.11134  ,205 ,1 ,C   ,C_LV   ,1_LV_68.3333 ,RHS1_1247 ,RHS1_1247 -> RDT137  ,
L(R:P1RLV16-RDT11LV)         ,RDT11LV   ,P1RLV16   ,0.42  ,0.018  ,1P_UG_AL_1/0_Brenau_0_416_0            ,0.00966 ,0.00179 ,0.94427   ,0.02975 ,0.02309  ,0.06926  ,205 ,1 ,A   ,A_LV   ,1_LV_68.3333 ,RHS1_1247 ,RHS1_1247 -> RDT137  ,
L(R:P1RLV18-RDT11LV)         ,RDT11LV   ,P1RLV18   ,0.42  ,0.024  ,1P_UG_AL_1/0_Brenau_0_416_0            ,0.01315 ,0.00244 ,1.28473   ,0.04047 ,0.03141  ,0.09423  ,205 ,1 ,A   ,A_LV   ,1_LV_68.3333 ,RHS1_1247 ,RHS1_1247 -> RDT137  ,
L(R:P1RLV20-RDT12LV)         ,RDT12LV   ,P1RLV20   ,0.42  ,0.040  ,1P_UG_AL_1/0_Brenau_0_416_0            ,0.02174 ,0.00403 ,2.12390   ,0.06691 ,0.05193  ,0.15578  ,205 ,1 ,B   ,B_LV   ,1_LV_68.3333 ,RHS1_1247 ,RHS1_1247 -> RDT137  ,
L(R:P1RLV19-RDM19)           ,RDM19     ,P1RLV19   ,0.42  ,0.028  ,1P_UG_AL_1/0_Brenau_0_416_0            ,0.01496 ,0.00278 ,1.46143   ,0.04604 ,0.03573  ,0.10719  ,205 ,1 ,B   ,B_LV   ,1_LV_68.3333 ,RHS1_1247 ,RHS1_1247 -> RDT137  ,
L(R:RDM19-RDT12LV)           ,RDT12LV   ,RDM19     ,0.42  ,0.019  ,1P_UG_AL_1/0_Brenau_0_416_0            ,0.01014 ,0.00188 ,0.99070   ,0.03121 ,0.02422  ,0.07266  ,205 ,1 ,B   ,B_LV   ,1_LV_68.3333 ,RHS1_1247 ,RHS1_1247 -> RDT137  ,
L(R:P1RLV21-RDM21)           ,RDM21     ,P1RLV21   ,0.42  ,0.022  ,1P_UG_AL_1/0_Brenau_0_416_0            ,0.01165 ,0.00216 ,1.13832   ,0.03586 ,0.02783  ,0.08349  ,205 ,1 ,B   ,B_LV   ,1_LV_68.3333 ,RHS1_1247 ,RHS1_1247 -> RDT137  ,
L(R:RDM21-RDT12LV)           ,RDT12LV   ,RDM21     ,0.42  ,0.061  ,1P_UG_AL_1/0_Brenau_0_416_0            ,0.03289 ,0.00610 ,3.21331   ,0.10122 ,0.07856  ,0.23568  ,205 ,1 ,B   ,B_LV   ,1_LV_68.3333 ,RHS1_1247 ,RHS1_1247 -> RDT137  ,
L(R:P1RLV23-RDT13LV)         ,RDT13LV   ,P1RLV23   ,0.42  ,0.025  ,1P_UG_AL_1/0_Brenau_0_416_0            ,0.01360 ,0.00252 ,1.32920   ,0.04187 ,0.03250  ,0.09749  ,205 ,1 ,C   ,C_LV   ,1_LV_68.3333 ,RHS1_1247 ,RHS1_1247 -> RDT137  ,
L(R:P1RLV24-RDM23)           ,RDM23     ,P1RLV24   ,0.42  ,0.033  ,1P_UG_AL_1/0_Brenau_0_416_0            ,0.01760 ,0.00327 ,1.71971   ,0.05417 ,0.04204  ,0.12613  ,205 ,1 ,C   ,C_LV   ,1_LV_68.3333 ,RHS1_1247 ,RHS1_1247 -> RDT137  ,
L(R:RDM23-RDT14LV)           ,RDT14LV   ,RDM23     ,0.42  ,0.020  ,1P_UG_AL_1/0_Brenau_0_416_0            ,0.01057 ,0.00196 ,1.03288   ,0.03254 ,0.02525  ,0.07576  ,205 ,1 ,C   ,C_LV   ,1_LV_68.3333 ,RHS1_1247 ,RHS1_1247 -> RDT137  ,
L(R:P1RLV25-RDM24)           ,RDM24     ,P1RLV25   ,0.42  ,0.029  ,1P_UG_AL_1/0_Brenau_0_416_0            ,0.01590 ,0.00295 ,1.55340   ,0.04893 ,0.03798  ,0.11394  ,205 ,1 ,C   ,C_LV   ,1_LV_68.3333 ,RHS1_1247 ,RHS1_1247 -> RDT137  ,
L(R:RDM24-RDT14LV)           ,RDT14LV   ,RDM24     ,0.42  ,0.010  ,1P_UG_AL_1/0_Brenau_0_416_0            ,0.00537 ,0.00100 ,0.52424   ,0.01651 ,0.01282  ,0.03845  ,205 ,1 ,C   ,C_LV   ,1_LV_68.3333 ,RHS1_1247 ,RHS1_1247 -> RDT137  ,
L(R:P1RLV26-RDM25)           ,RDM25     ,P1RLV26   ,0.42  ,0.031  ,1P_UG_AL_1/0_Brenau_0_416_0            ,0.01671 ,0.00310 ,1.63268   ,0.05143 ,0.03992  ,0.11975  ,205 ,1 ,C   ,C_LV   ,1_LV_68.3333 ,RHS1_1247 ,RHS1_1247 -> RDT137  ,
L(R:P1RLV27-RDM26)           ,RDM26     ,P1RLV27   ,0.42  ,0.032  ,1P_UG_AL_1/0_Brenau_0_416_0            ,0.01733 ,0.00322 ,1.69322   ,0.05334 ,0.04140  ,0.12419  ,205 ,1 ,C   ,C_LV   ,1_LV_68.3333 ,RHS1_1247 ,RHS1_1247 -> RDT137  ,
L(R:RDM25-RDM26)             ,RDM25     ,RDM26     ,0.42  ,0.009  ,1P_UG_AL_1/0_Brenau_0_416_0            ,0.00506 ,0.00094 ,0.49434   ,0.01557 ,0.01209  ,0.03626  ,205 ,1 ,C   ,C_LV   ,1_LV_68.3333 ,RHS1_1247 ,RHS1_1247 -> RDT137  ,
L(R:RDM25-RDT15LV)           ,RDT15LV   ,RDM25     ,0.42  ,0.009  ,1P_UG_AL_1/0_Brenau_0_416_0            ,0.00507 ,0.00094 ,0.49508   ,0.01560 ,0.01210  ,0.03631  ,205 ,1 ,C   ,C_LV   ,1_LV_68.3333 ,RHS1_1247 ,RHS1_1247 -> RDT137  ,
L(R:P1RLV28-RDM27)           ,RDM27     ,P1RLV28   ,0.42  ,0.035  ,1P_UG_AL_1/0_Brenau_0_416_0            ,0.01874 ,0.00348 ,1.83140   ,0.05769 ,0.04478  ,0.13433  ,205 ,1 ,C   ,C_LV   ,1_LV_68.3333 ,RHS1_1247 ,RHS1_1247 -> RDT137  ,
L(R:P1RLV29-RDM28)           ,RDM28     ,P1RLV29   ,0.42  ,0.035  ,1P_UG_AL_1/0_Brenau_0_416_0            ,0.01895 ,0.00352 ,1.85194   ,0.05834 ,0.04528  ,0.13583  ,205 ,1 ,C   ,C_LV   ,1_LV_68.3333 ,RHS1_1247 ,RHS1_1247 -> RDT137  ,
L(R:RDM27-RDM28)             ,RDM27     ,RDM28     ,0.42  ,0.020  ,1P_UG_AL_1/0_Brenau_0_416_0            ,0.01073 ,0.00199 ,1.04811   ,0.03302 ,0.02562  ,0.07687  ,205 ,1 ,C   ,C_LV   ,1_LV_68.3333 ,RHS1_1247 ,RHS1_1247 -> RDT137  ,
L(R:RDM27-RDT15LV)           ,RDT15LV   ,RDM27     ,0.42  ,0.009  ,1P_UG_AL_1/0_Brenau_0_416_0            ,0.00506 ,0.00094 ,0.49469   ,0.01558 ,0.01209  ,0.03628  ,205 ,1 ,C   ,C_LV   ,1_LV_68.3333 ,RHS1_1247 ,RHS1_1247 -> RDT137  ,
L(R:P1RLV31-RDM30)           ,RDM30     ,P1RLV31   ,0.42  ,0.013  ,1P_UG_AL_1/0_Brenau_0_416_0            ,0.00701 ,0.00130 ,0.68493   ,0.02158 ,0.01675  ,0.05024  ,205 ,1 ,B   ,B_LV   ,1_LV_68.3333 ,RHS1_1247 ,RHS1_1247 -> RDT137  ,
L(R:P1RLV30-RDM29)           ,RDM29     ,P1RLV30   ,0.42  ,0.027  ,1P_UG_AL_1/0_Brenau_0_416_0            ,0.01473 ,0.00273 ,1.43899   ,0.04533 ,0.03518  ,0.10554  ,205 ,1 ,B   ,B_LV   ,1_LV_68.3333 ,RHS1_1247 ,RHS1_1247 -> RDT137  ,
L(R:RDM29-RDM30)             ,RDM30     ,RDM29     ,0.42  ,0.092  ,1P_UG_AL_1/0_Brenau_0_416_0            ,0.04993 ,0.00927 ,4.87861   ,0.15368 ,0.11927  ,0.35782  ,205 ,1 ,B   ,B_LV   ,1_LV_68.3333 ,RHS1_1247 ,RHS1_1247 -> RDT137  ,
L(R:RDM30-RDT16LV)           ,RDT16LV   ,RDM30     ,0.42  ,0.007  ,1P_UG_AL_1/0_Brenau_0_416_0            ,0.00397 ,0.00074 ,0.38830   ,0.01223 ,0.00949  ,0.02848  ,205 ,1 ,B   ,B_LV   ,1_LV_68.3333 ,RHS1_1247 ,RHS1_1247 -> RDT137  ,
L(R:P1RLV32-RDM31)           ,RDM31     ,P1RLV32   ,0.42  ,0.018  ,1P_UG_AL_1/0_Brenau_0_416_0            ,0.00970 ,0.00180 ,0.94768   ,0.02985 ,0.02317  ,0.06951  ,205 ,1 ,B   ,B_LV   ,1_LV_68.3333 ,RHS1_1247 ,RHS1_1247 -> RDT137  ,
L(R:RDM31-RDT16LV)           ,RDT16LV   ,RDM31     ,0.42  ,0.015  ,1P_UG_AL_1/0_Brenau_0_416_0            ,0.00794 ,0.00147 ,0.77612   ,0.02445 ,0.01898  ,0.05693  ,205 ,1 ,B   ,B_LV   ,1_LV_68.3333 ,RHS1_1247 ,RHS1_1247 -> RDT137  ,
L(R:P1RLV33-RDM32)           ,RDM32     ,P1RLV33   ,0.42  ,0.036  ,1P_UG_AL_1/0_Brenau_0_416_0            ,0.01931 ,0.00358 ,1.88655   ,0.05943 ,0.04612  ,0.13837  ,205 ,1 ,C   ,C_LV   ,1_LV_68.3333 ,RHS1_1247 ,RHS1_1247 -> RDT137  ,
L(R:RDM32-RDT17LV)           ,RDT17LV   ,RDM32     ,0.42  ,0.006  ,1P_UG_AL_1/0_Brenau_0_416_0            ,0.00327 ,0.00061 ,0.31948   ,0.01006 ,0.00781  ,0.02343  ,205 ,1 ,C   ,C_LV   ,1_LV_68.3333 ,RHS1_1247 ,RHS1_1247 -> RDT137  ,
L(R:P1RLV34-RDM33)           ,RDM33     ,P1RLV34   ,0.42  ,0.032  ,1P_UG_AL_1/0_Brenau_0_416_0            ,0.01746 ,0.00324 ,1.70649   ,0.05376 ,0.04172  ,0.12516  ,205 ,1 ,C   ,C_LV   ,1_LV_68.3333 ,RHS1_1247 ,RHS1_1247 -> RDT137  ,
L(R:RDM33-RDT17LV)           ,RDT17LV   ,RDM33     ,0.42  ,0.016  ,1P_UG_AL_1/0_Brenau_0_416_0            ,0.00867 ,0.00161 ,0.84725   ,0.02669 ,0.02071  ,0.06214  ,205 ,1 ,C   ,C_LV   ,1_LV_68.3333 ,RHS1_1247 ,RHS1_1247 -> RDT137  ,
L(R:P1RLV35-RDM34)           ,RDM34     ,P1RLV35   ,0.42  ,0.034  ,1P_UG_AL_1/0_Brenau_0_416_0            ,0.01840 ,0.00341 ,1.79798   ,0.05664 ,0.04396  ,0.13187  ,205 ,1 ,C   ,C_LV   ,1_LV_68.3333 ,RHS1_1247 ,RHS1_1247 -> RDT137  ,
L(R:RDM34-RDT18LV)           ,RDT18LV   ,RDM34     ,0.42  ,0.014  ,1P_UG_AL_1/0_Brenau_0_416_0            ,0.00763 ,0.00142 ,0.74524   ,0.02348 ,0.01822  ,0.05466  ,205 ,1 ,C   ,C_LV   ,1_LV_68.3333 ,RHS1_1247 ,RHS1_1247 -> RDT137  ,
L(R:P1RLV36-RDM35)           ,RDM35     ,P1RLV36   ,0.42  ,0.036  ,1P_UG_AL_1/0_Brenau_0_416_0            ,0.01960 ,0.00364 ,1.91546   ,0.06034 ,0.04683  ,0.14049  ,205 ,1 ,C   ,C_LV   ,1_LV_68.3333 ,RHS1_1247 ,RHS1_1247 -> RDT137  ,
L(R:P1RLV37-RDM36)           ,RDM36     ,P1RLV37   ,0.42  ,0.022  ,1P_UG_AL_1/0_Brenau_0_416_0            ,0.01199 ,0.00222 ,1.17131   ,0.03690 ,0.02864  ,0.08591  ,205 ,1 ,C   ,C_LV   ,1_LV_68.3333 ,RHS1_1247 ,RHS1_1247 -> RDT137  ,
L(R:RDM35-RDM36)             ,RDM35     ,RDM36     ,0.42  ,0.006  ,1P_UG_AL_1/0_Brenau_0_416_0            ,0.00346 ,0.00064 ,0.33844   ,0.01066 ,0.00827  ,0.02482  ,205 ,1 ,C   ,C_LV   ,1_LV_68.3333 ,RHS1_1247 ,RHS1_1247 -> RDT137  ,
L(R:RDM35-RDT18LV)           ,RDT18LV   ,RDM35     ,0.42  ,0.006  ,1P_UG_AL_1/0_Brenau_0_416_0            ,0.00346 ,0.00064 ,0.33844   ,0.01066 ,0.00827  ,0.02482  ,205 ,1 ,C   ,C_LV   ,1_LV_68.3333 ,RHS1_1247 ,RHS1_1247 -> RDT137  ,
L(R:P1RLV39-RDT19LV)         ,RDT19LV   ,P1RLV39   ,0.42  ,0.021  ,1P_UG_AL_1/0_Brenau_0_416_0            ,0.01126 ,0.00209 ,1.09998   ,0.03465 ,0.02689  ,0.08068  ,205 ,1 ,C   ,C_LV   ,1_LV_68.3333 ,RHS1_1247 ,RHS1_1247 -> RDT137  ,
L(R:P1RLV38-RDM37)           ,RDM37     ,P1RLV38   ,0.42  ,0.018  ,1P_UG_AL_1/0_Brenau_0_416_0            ,0.00978 ,0.00182 ,0.95570   ,0.03011 ,0.02337  ,0.07010  ,205 ,1 ,C   ,C_LV   ,1_LV_68.3333 ,RHS1_1247 ,RHS1_1247 -> RDT137  ,
L(R:P1RLV40-RDM39)           ,RDM39     ,P1RLV40   ,0.42  ,0.026  ,1P_UG_AL_1/0_Brenau_0_416_0            ,0.01427 ,0.00265 ,1.39419   ,0.04392 ,0.03409  ,0.10226  ,205 ,1 ,C   ,C_LV   ,1_LV_68.3333 ,RHS1_1247 ,RHS1_1247 -> RDT137  ,
L(R:RDM37-RDM39)             ,RDM37     ,RDM39     ,0.42  ,0.044  ,1P_UG_AL_1/0_Brenau_0_416_0            ,0.02360 ,0.00438 ,2.30610   ,0.07265 ,0.05638  ,0.16914  ,205 ,1 ,C   ,C_LV   ,1_LV_68.3333 ,RHS1_1247 ,RHS1_1247 -> RDT137  ,
L(R:RDM37-RDT19LV)           ,RDT19LV   ,RDM37     ,0.42  ,0.009  ,1P_UG_AL_2/0_Converse_0_416_0          ,0.00371 ,0.00085 ,0.47203   ,0.01281 ,0.00924  ,0.02771  ,233 ,1 ,C   ,C_LV   ,1_LV_77.6667 ,RHS1_1247 ,RHS1_1247 -> RDT137  ,
L(R:P1RLV41-RDT20LV)         ,RDT20LV   ,P1RLV41   ,0.42  ,0.022  ,1P_UG_AL_2/0_Converse_0_416_0          ,0.00929 ,0.00212 ,1.18145   ,0.03206 ,0.02312  ,0.06936  ,233 ,1 ,C   ,C_LV   ,1_LV_77.6667 ,RHS1_1247 ,RHS1_1247 -> RDT137  ,
L(R:P1RLV42-RDT21LV)         ,RDT21LV   ,P1RLV42   ,0.42  ,0.036  ,1P_UG_AL_1/0_Brenau_0_416_0            ,0.01970 ,0.00366 ,1.92526   ,0.06065 ,0.04707  ,0.14121  ,205 ,1 ,C   ,C_LV   ,1_LV_68.3333 ,RHS1_1247 ,RHS1_1247 -> RDT137  ,
L(R:P1RLV43-RDM42)           ,RDM42     ,P1RLV43   ,0.42  ,0.020  ,1P_UG_AL_1/0_Brenau_0_416_0            ,0.01080 ,0.00200 ,1.05510   ,0.03324 ,0.02580  ,0.07739  ,205 ,1 ,A   ,A_LV   ,1_LV_68.3333 ,RHS1_1247 ,RHS1_1247 -> RDT137  ,
L(R:RDM42-RDT22LV)           ,RDT22LV   ,RDM42     ,0.42  ,0.023  ,1P_UG_AL_1/0_Brenau_0_416_0            ,0.01230 ,0.00228 ,1.20220   ,0.03787 ,0.02939  ,0.08818  ,205 ,1 ,A   ,A_LV   ,1_LV_68.3333 ,RHS1_1247 ,RHS1_1247 -> RDT137  ,
L(R:P1RLV44-RDM43)           ,RDM43     ,P1RLV44   ,0.42  ,0.009  ,1P_OH_CU_4_Ionic_0_416_0               ,0.00786 ,0.00096 ,0.51460   ,0.01913 ,0.01184  ,0.03551  ,115 ,1 ,A   ,A_LV   ,1_LV_38.3333 ,RHS1_1247 ,RHS1_1247 -> RDT137  ,
L(R:RDM43-RDT22LV)           ,RDT22LV   ,RDM43     ,0.42  ,0.030  ,1P_OH_CU_4_Ionic_0_416_0               ,0.02526 ,0.00307 ,1.65448   ,0.06150 ,0.03806  ,0.11418  ,115 ,1 ,A   ,A_LV   ,1_LV_38.3333 ,RHS1_1247 ,RHS1_1247 -> RDT137  ,
L(R:P1RLV45-RDT23LV)         ,RDT23LV   ,P1RLV45   ,0.42  ,0.024  ,1P_OH_CU_4_Ionic_0_416_0               ,0.01995 ,0.00243 ,1.30666   ,0.04857 ,0.03006  ,0.09018  ,115 ,1 ,A   ,A_LV   ,1_LV_38.3333 ,RHS1_1247 ,RHS1_1247 -> RDT137  ,
L(R:P1RLV56-RDT23LV)         ,RDT23LV   ,P1RLV56   ,0.42  ,0.016  ,1P_OH_CU_4_Ionic_0_416_0               ,0.01325 ,0.00161 ,0.86807   ,0.03227 ,0.01997  ,0.05991  ,115 ,1 ,A   ,A_LV   ,1_LV_38.3333 ,RHS1_1247 ,RHS1_1247 -> RDT137  ,
L(R:P1RLV47-RDT24LV)         ,RDT24LV   ,P1RLV47   ,0.42  ,0.019  ,1P_UG_AL_1/0_Brenau_0_416_0            ,0.01019 ,0.00189 ,0.99544   ,0.03136 ,0.02434  ,0.07301  ,205 ,1 ,A   ,A_LV   ,1_LV_68.3333 ,RHS1_1247 ,RHS1_1247 -> RDT137  ,
L(R:P1RLV46-RDM46)           ,RDM46     ,P1RLV46   ,0.42  ,0.015  ,1P_UG_AL_1/0_Brenau_0_416_0            ,0.00800 ,0.00148 ,0.78135   ,0.02461 ,0.01910  ,0.05731  ,205 ,1 ,A   ,A_LV   ,1_LV_68.3333 ,RHS1_1247 ,RHS1_1247 -> RDT137  ,
L(R:RDM46-RDT24LV)           ,RDT24LV   ,RDM46     ,0.42  ,0.009  ,1P_UG_AL_1/0_Brenau_0_416_0            ,0.00501 ,0.00093 ,0.48990   ,0.01543 ,0.01198  ,0.03593  ,205 ,1 ,A   ,A_LV   ,1_LV_68.3333 ,RHS1_1247 ,RHS1_1247 -> RDT137  ,
L(R:P1RLV48-RDM48)           ,RDM48     ,P1RLV48   ,0.42  ,0.025  ,1P_UG_AL_1/0_Brenau_0_416_0            ,0.01340 ,0.00249 ,1.30942   ,0.04125 ,0.03201  ,0.09604  ,205 ,1 ,A   ,A_LV   ,1_LV_68.3333 ,RHS1_1247 ,RHS1_1247 -> RDT137  ,
