Code,Phases,NVolt_kV,DemP_kW,DemQ_kVAr,Subest,Feeder,Pinst_kW,Qinst_kVAr,Yearly_kWh,NumCust,
P1RLV58   ,1 ,0.42  ,2.34    ,0.48   ,RHS1_1247 ,RHS1_1247 -> RDT137  ,5.85    ,1.19   ,16548.01   ,1 ,
P1RLV59   ,1 ,0.42  ,4.04    ,0.82   ,RHS1_1247 ,RHS1_1247 -> RDT137  ,10.09   ,2.05   ,27702.24   ,1 ,
P1RLV60   ,1 ,0.42  ,4.55    ,0.92   ,RHS1_1247 ,RHS1_1247 -> RDT137  ,11.37   ,2.31   ,31222.02   ,1 ,
P1RLV61   ,1 ,0.42  ,1.85    ,0.38   ,RHS1_1247 ,RHS1_1247 -> RDT137  ,4.62    ,0.94   ,13767.42   ,1 ,
P1RLV62   ,1 ,0.42  ,3.42    ,0.69   ,RHS1_1247 ,RHS1_1247 -> RDT137  ,8.54    ,1.73   ,23451.34   ,1 ,
P1RLV63   ,1 ,0.42  ,4.52    ,0.92   ,RHS1_1247 ,RHS1_1247 -> RDT137  ,11.30   ,2.29   ,31026.49   ,1 ,
P1RLV64   ,1 ,0.42  ,3.42    ,0.69   ,RHS1_1247 ,RHS1_1247 -> RDT137  ,8.54    ,1.73   ,23454.00   ,1 ,
P1RLV65   ,1 ,0.42  ,1.38    ,0.28   ,RHS1_1247 ,RHS1_1247 -> RDT137  ,3.45    ,0.70   ,10024.78   ,1 ,
P1RLV66   ,1 ,0.42  ,3.83    ,0.78   ,RHS1_1247 ,RHS1_1247 -> RDT137  ,9.57    ,1.94   ,26282.83   ,1 ,
P1RLV67   ,1 ,0.42  ,4.37    ,0.89   ,RHS1_1247 ,RHS1_1247 -> RDT137  ,10.92   ,2.22   ,29965.80   ,1 ,
P1RLV68   ,1 ,0.42  ,3.75    ,0.76   ,RHS1_1247 ,RHS1_1247 -> RDT137  ,9.38    ,1.91   ,25759.67   ,1 ,
P1RLV69   ,1 ,0.42  ,7.20    ,1.46   ,RHS1_1247 ,RHS1_1247 -> RDT137  ,18.00   ,3.66   ,49422.64   ,1 ,
P1RLV70   ,1 ,0.42  ,4.03    ,0.82   ,RHS1_1247 ,RHS1_1247 -> RDT137  ,10.06   ,2.04   ,27625.59   ,1 ,
P1RLV71   ,1 ,0.42  ,6.33    ,1.29   ,RHS1_1247 ,RHS1_1247 -> RDT137  ,15.83   ,3.21   ,43455.71   ,1 ,
P1RLV72   ,1 ,0.42  ,2.24    ,0.46   ,RHS1_1247 ,RHS1_1247 -> RDT137  ,5.61    ,1.14   ,15989.13   ,1 ,
P1RLV73   ,1 ,0.42  ,2.26    ,0.46   ,RHS1_1247 ,RHS1_1247 -> RDT137  ,5.65    ,1.15   ,16098.62   ,1 ,
P1RLV74   ,1 ,0.42  ,5.25    ,1.07   ,RHS1_1247 ,RHS1_1247 -> RDT137  ,13.13   ,2.67   ,36056.69   ,1 ,
P1RLV75   ,1 ,0.42  ,3.37    ,0.68   ,RHS1_1247 ,RHS1_1247 -> RDT137  ,8.41    ,1.71   ,23100.84   ,1 ,
P1RLV76   ,1 ,0.42  ,2.54    ,0.51   ,RHS1_1247 ,RHS1_1247 -> RDT137  ,6.34    ,1.29   ,17649.96   ,1 ,
P1RLV77   ,1 ,0.42  ,6.78    ,1.38   ,RHS1_1247 ,RHS1_1247 -> RDT137  ,16.95   ,3.44   ,46532.44   ,1 ,
P1RLV78   ,1 ,0.42  ,3.21    ,0.65   ,RHS1_1247 ,RHS1_1247 -> RDT137  ,8.04    ,1.63   ,22061.94   ,1 ,
P1RLV79   ,1 ,0.42  ,4.85    ,0.98   ,RHS1_1247 ,RHS1_1247 -> RDT137  ,12.12   ,2.46   ,33266.27   ,1 ,
P1RLV80   ,1 ,0.42  ,4.70    ,0.95   ,RHS1_1247 ,RHS1_1247 -> RDT137  ,11.74   ,2.38   ,32228.44   ,1 ,
P1RLV81   ,1 ,0.42  ,6.04    ,1.23   ,RHS1_1247 ,RHS1_1247 -> RDT137  ,15.09   ,3.06   ,41432.94   ,1 ,
P1RLV82   ,1 ,0.42  ,4.18    ,0.85   ,RHS1_1247 ,RHS1_1247 -> RDT137  ,10.45   ,2.12   ,28698.34   ,1 ,
P1RLV83   ,1 ,0.42  ,4.85    ,0.98   ,RHS1_1247 ,RHS1_1247 -> RDT137  ,12.12   ,2.46   ,33271.97   ,1 ,
P1RLV84   ,1 ,0.42  ,3.22    ,0.65   ,RHS1_1247 ,RHS1_1247 -> RDT137  ,8.04    ,1.63   ,22085.10   ,1 ,
P1RLV85   ,1 ,0.42  ,2.99    ,0.61   ,RHS1_1247 ,RHS1_1247 -> RDT137  ,7.47    ,1.52   ,20498.31   ,1 ,
P1RLV86   ,1 ,0.42  ,6.21    ,1.26   ,RHS1_1247 ,RHS1_1247 -> RDT137  ,15.54   ,3.15   ,42653.72   ,1 ,
P1RLV87   ,1 ,0.42  ,3.46    ,0.70   ,RHS1_1247 ,RHS1_1247 -> RDT137  ,8.65    ,1.76   ,23756.22   ,1 ,
P1RLV88   ,1 ,0.42  ,7.92    ,1.61   ,RHS1_1247 ,RHS1_1247 -> RDT137  ,19.80   ,4.02   ,54344.64   ,1 ,
P1RLV89   ,1 ,0.42  ,4.36    ,0.89   ,RHS1_1247 ,RHS1_1247 -> RDT137  ,10.91   ,2.22   ,29954.07   ,1 ,
P1RLV90   ,1 ,0.42  ,4.17    ,0.85   ,RHS1_1247 ,RHS1_1247 -> RDT137  ,10.43   ,2.12   ,28639.00   ,1 ,
P1RLV91   ,1 ,0.42  ,1.99    ,0.40   ,RHS1_1247 ,RHS1_1247 -> RDT137  ,4.98    ,1.01   ,14573.64   ,1 ,
P1RLV92   ,1 ,0.42  ,7.35    ,1.49   ,RHS1_1247 ,RHS1_1247 -> RDT137  ,18.37   ,3.73   ,50420.04   ,1 ,
P1RLV93   ,1 ,0.42  ,3.53    ,0.72   ,RHS1_1247 ,RHS1_1247 -> RDT137  ,8.83    ,1.79   ,24239.46   ,1 ,
P1RLV94   ,1 ,0.42  ,3.99    ,0.81   ,RHS1_1247 ,RHS1_1247 -> RDT137  ,9.98    ,2.03   ,27400.47   ,1 ,
P1RLV95   ,1 ,0.42  ,3.40    ,0.69   ,RHS1_1247 ,RHS1_1247 -> RDT137  ,8.50    ,1.73   ,23324.05   ,1 ,
P1RLV96   ,1 ,0.42  ,2.89    ,0.59   ,RHS1_1247 ,RHS1_1247 -> RDT137  ,7.23    ,1.47   ,19844.61   ,1 ,
P1RLV97   ,1 ,0.42  ,6.33    ,1.29   ,RHS1_1247 ,RHS1_1247 -> RDT137  ,15.83   ,3.21   ,43453.23   ,1 ,
P1RLV98   ,1 ,0.42  ,3.97    ,0.81   ,RHS1_1247 ,RHS1_1247 -> RDT137  ,9.93    ,2.02   ,27272.24   ,1 ,
P1RLV99   ,1 ,0.42  ,1.38    ,0.28   ,RHS1_1247 ,RHS1_1247 -> RDT137  ,3.45    ,0.70   ,3316.33    ,1 ,
P1RLV100  ,1 ,0.42  ,4.15    ,0.84   ,RHS1_1247 ,RHS1_1247 -> RDT137  ,10.38   ,2.11   ,28503.37   ,1 ,
P1RLV101  ,1 ,0.42  ,3.15    ,0.64   ,RHS1_1247 ,RHS1_1247 -> RDT137  ,7.88    ,1.60   ,21632.70   ,1 ,
P1RLV102  ,1 ,0.42  ,3.80    ,0.77   ,RHS1_1247 ,RHS1_1247 -> RDT137  ,9.49    ,1.93   ,26060.56   ,1 ,
P1RLV103  ,1 ,0.42  ,6.07    ,1.23   ,RHS1_1247 ,RHS1_1247 -> RDT137  ,15.18   ,3.08   ,41677.46   ,1 ,
P1RLV104  ,1 ,0.42  ,3.24    ,0.66   ,RHS1_1247 ,RHS1_1247 -> RDT137  ,8.11    ,1.65   ,22256.85   ,1 ,
P1RLV105  ,1 ,0.42  ,6.42    ,1.30   ,RHS1_1247 ,RHS1_1247 -> RDT137  ,16.04   ,3.26   ,44040.36   ,1 ,
P1RLV106  ,1 ,0.42  ,4.18    ,0.85   ,RHS1_1247 ,RHS1_1247 -> RDT137  ,10.45   ,2.12   ,28688.95   ,1 ,
P1RLV107  ,1 ,0.42  ,1.38    ,0.28   ,RHS1_1247 ,RHS1_1247 -> RDT137  ,3.45    ,0.70   ,6454.32    ,1 ,
P1RLV108  ,1 ,0.42  ,6.82    ,1.39   ,RHS1_1247 ,RHS1_1247 -> RDT137  ,17.06   ,3.46   ,46821.88   ,1 ,
P1RLV109  ,1 ,0.42  ,4.50    ,0.91   ,RHS1_1247 ,RHS1_1247 -> RDT137  ,11.26   ,2.29   ,30900.33   ,1 ,
P1RLV110  ,1 ,0.42  ,12.15   ,2.47   ,RHS1_1247 ,RHS1_1247 -> RDT137  ,30.37   ,6.17   ,83384.73   ,1 ,
P1RLV111  ,1 ,0.42  ,2.61    ,0.53   ,RHS1_1247 ,RHS1_1247 -> RDT137  ,6.52    ,1.32   ,18056.81   ,1 ,
P1RLV112  ,1 ,0.42  ,2.24    ,0.45   ,RHS1_1247 ,RHS1_1247 -> RDT137  ,5.60    ,1.14   ,15968.49   ,1 ,
P1RLV113  ,1 ,0.42  ,6.89    ,1.40   ,RHS1_1247 ,RHS1_1247 -> RDT137  ,17.23   ,3.50   ,47313.63   ,1 ,
P1RLV114  ,1 ,0.42  ,4.53    ,0.92   ,RHS1_1247 ,RHS1_1247 -> RDT137  ,11.33   ,2.30   ,31114.34   ,1 ,
P1RLV115  ,1 ,0.42  ,1.44    ,0.29   ,RHS1_1247 ,RHS1_1247 -> RDT137  ,3.60    ,0.73   ,11265.79   ,1 ,
P1RLV116  ,1 ,0.42  ,4.88    ,0.99   ,RHS1_1247 ,RHS1_1247 -> RDT137  ,12.19   ,2.48   ,33471.54   ,1 ,
P1RLV117  ,1 ,0.42  ,4.87    ,0.99   ,RHS1_1247 ,RHS1_1247 -> RDT137  ,12.17   ,2.47   ,33401.09   ,1 ,
P1RLV118  ,1 ,0.42  ,6.69    ,1.36   ,RHS1_1247 ,RHS1_1247 -> RDT137  ,16.72   ,3.39   ,45888.53   ,1 ,
P1RLV119  ,1 ,0.42  ,4.61    ,0.94   ,RHS1_1247 ,RHS1_1247 -> RDT137  ,11.53   ,2.34   ,31662.86   ,1 ,
P1RLV120  ,1 ,0.42  ,2.10    ,0.43   ,RHS1_1247 ,RHS1_1247 -> RDT137  ,5.25    ,1.07   ,15175.22   ,1 ,
P1RLV121  ,1 ,0.42  ,1.38    ,0.28   ,RHS1_1247 ,RHS1_1247 -> RDT137  ,3.45    ,0.70   ,7061.66    ,1 ,
P1RLV122  ,1 ,0.42  ,1.38    ,0.28   ,RHS1_1247 ,RHS1_1247 -> RDT137  ,3.45    ,0.70   ,7804.37    ,1 ,
P1RLV123  ,1 ,0.42  ,1.38    ,0.28   ,RHS1_1247 ,RHS1_1247 -> RDT137  ,3.45    ,0.70   ,8030.45    ,1 ,
P1RLV124  ,1 ,0.42  ,2.92    ,0.59   ,RHS1_1247 ,RHS1_1247 -> RDT137  ,7.30    ,1.48   ,20027.23   ,1 ,
P1RLV125  ,1 ,0.42  ,5.75    ,1.17   ,RHS1_1247 ,RHS1_1247 -> RDT137  ,14.38   ,2.92   ,39485.52   ,1 ,
P1RLV126  ,1 ,0.42  ,3.84    ,0.78   ,RHS1_1247 ,RHS1_1247 -> RDT137  ,9.60    ,1.95   ,26357.35   ,1 ,
P1RLV127  ,1 ,0.42  ,3.89    ,0.79   ,RHS1_1247 ,RHS1_1247 -> RDT137  ,9.73    ,1.98   ,26717.82   ,1 ,
P1RLV128  ,1 ,0.42  ,5.56    ,1.13   ,RHS1_1247 ,RHS1_1247 -> RDT137  ,13.91   ,2.82   ,38188.68   ,1 ,
P1RLV129  ,1 ,0.42  ,2.10    ,0.43   ,RHS1_1247 ,RHS1_1247 -> RDT137  ,5.24    ,1.06   ,15169.12   ,1 ,
P1RLV130  ,1 ,0.42  ,3.01    ,0.61   ,RHS1_1247 ,RHS1_1247 -> RDT137  ,7.53    ,1.53   ,20682.31   ,1 ,
P1RLV131  ,1 ,0.42  ,4.02    ,0.82   ,RHS1_1247 ,RHS1_1247 -> RDT137  ,10.05   ,2.04   ,27603.49   ,1 ,
P1RLV132  ,1 ,0.42  ,8.15    ,1.65   ,RHS1_1247 ,RHS1_1247 -> RDT137  ,20.37   ,4.14   ,55927.88   ,1 ,
P1RLV133  ,1 ,0.42  ,3.92    ,0.80   ,RHS1_1247 ,RHS1_1247 -> RDT137  ,9.81    ,1.99   ,26933.47   ,1 ,
P1RLV134  ,1 ,0.42  ,1.38    ,0.28   ,RHS1_1247 ,RHS1_1247 -> RDT137  ,3.45    ,0.70   ,6903.92    ,1 ,
P1RLV135  ,1 ,0.42  ,5.20    ,1.06   ,RHS1_1247 ,RHS1_1247 -> RDT137  ,13.00   ,2.64   ,35684.67   ,1 ,
P1RLV136  ,1 ,0.42  ,2.88    ,0.58   ,RHS1_1247 ,RHS1_1247 -> RDT137  ,7.20    ,1.46   ,19763.92   ,1 ,
P1RLV137  ,1 ,0.42  ,5.25    ,1.07   ,RHS1_1247 ,RHS1_1247 -> RDT137  ,13.13   ,2.67   ,36040.69   ,1 ,
P1RLV138  ,1 ,0.42  ,3.34    ,0.68   ,RHS1_1247 ,RHS1_1247 -> RDT137  ,8.34    ,1.69   ,22893.27   ,1 ,
P1RLV139  ,1 ,0.42  ,5.79    ,1.18   ,RHS1_1247 ,RHS1_1247 -> RDT137  ,14.48   ,2.94   ,39757.88   ,1 ,
P1RLV140  ,1 ,0.42  ,4.82    ,0.98   ,RHS1_1247 ,RHS1_1247 -> RDT137  ,12.06   ,2.45   ,33105.94   ,1 ,
P1RLV141  ,1 ,0.42  ,3.91    ,0.79   ,RHS1_1247 ,RHS1_1247 -> RDT137  ,9.76    ,1.98   ,26807.24   ,1 ,
P1RLV142  ,1 ,0.42  ,2.23    ,0.45   ,RHS1_1247 ,RHS1_1247 -> RDT137  ,5.58    ,1.13   ,15927.02   ,1 ,
P1RLV143  ,1 ,0.42  ,1.38    ,0.28   ,RHS1_1247 ,RHS1_1247 -> RDT137  ,3.45    ,0.70   ,10811.45   ,1 ,
P1RLV144  ,1 ,0.42  ,2.07    ,0.42   ,RHS1_1247 ,RHS1_1247 -> RDT137  ,5.16    ,1.05   ,14991.73   ,1 ,
P1RLV145  ,1 ,0.42  ,1.38    ,0.28   ,RHS1_1247 ,RHS1_1247 -> RDT137  ,3.45    ,0.70   ,9570.83    ,1 ,
P1RLV146  ,1 ,0.42  ,1.91    ,0.39   ,RHS1_1247 ,RHS1_1247 -> RDT137  ,4.77    ,0.97   ,14105.97   ,1 ,
P1RLV147  ,1 ,0.42  ,2.86    ,0.58   ,RHS1_1247 ,RHS1_1247 -> RDT137  ,7.15    ,1.45   ,19619.09   ,1 ,
P1RLV148  ,1 ,0.42  ,4.62    ,0.94   ,RHS1_1247 ,RHS1_1247 -> RDT137  ,11.55   ,2.35   ,31718.88   ,1 ,
P1RLV149  ,1 ,0.42  ,3.92    ,0.80   ,RHS1_1247 ,RHS1_1247 -> RDT137  ,9.80    ,1.99   ,26898.75   ,1 ,
P1RLV150  ,1 ,0.42  ,1.38    ,0.28   ,RHS1_1247 ,RHS1_1247 -> RDT137  ,3.45    ,0.70   ,5874.41    ,1 ,
P1RLV151  ,1 ,0.42  ,1.50    ,0.31   ,RHS1_1247 ,RHS1_1247 -> RDT137  ,3.76    ,0.76   ,11696.54   ,1 ,
P1RLV152  ,1 ,0.42  ,8.03    ,1.63   ,RHS1_1247 ,RHS1_1247 -> RDT137  ,20.08   ,4.08   ,55126.27   ,1 ,
P1RLV153  ,1 ,0.42  ,3.95    ,0.80   ,RHS1_1247 ,RHS1_1247 -> RDT137  ,9.88    ,2.01   ,27121.83   ,1 ,
P1RLV154  ,1 ,0.42  ,2.79    ,0.57   ,RHS1_1247 ,RHS1_1247 -> RDT137  ,6.98    ,1.42   ,19169.74   ,1 ,
P1RLV155  ,1 ,0.42  ,2.94    ,0.60   ,RHS1_1247 ,RHS1_1247 -> RDT137  ,7.34    ,1.49   ,20148.71   ,1 ,
P1RLV156  ,1 ,0.42  ,4.80    ,0.98   ,RHS1_1247 ,RHS1_1247 -> RDT137  ,12.01   ,2.44   ,32964.61   ,1 ,
P1RLV157  ,1 ,0.42  ,2.77    ,0.56   ,RHS1_1247 ,RHS1_1247 -> RDT137  ,6.92    ,1.41   ,19010.87   ,1 ,
P1RLV158  ,1 ,0.42  ,4.00    ,0.81   ,RHS1_1247 ,RHS1_1247 -> RDT137  ,10.01   ,2.03   ,27481.91   ,1 ,
P1RLV159  ,1 ,0.42  ,8.17    ,1.66   ,RHS1_1247 ,RHS1_1247 -> RDT137  ,20.43   ,4.15   ,56081.27   ,1 ,
P1RLV160  ,1 ,0.42  ,5.61    ,1.14   ,RHS1_1247 ,RHS1_1247 -> RDT137  ,14.03   ,2.85   ,38519.57   ,1 ,
P1RLV161  ,1 ,0.42  ,2.90    ,0.59   ,RHS1_1247 ,RHS1_1247 -> RDT137  ,7.25    ,1.47   ,19900.73   ,1 ,
P1RLV162  ,1 ,0.42  ,3.68    ,0.75   ,RHS1_1247 ,RHS1_1247 -> RDT137  ,9.20    ,1.87   ,25250.53   ,1 ,
P1RLV163  ,1 ,0.42  ,4.17    ,0.85   ,RHS1_1247 ,RHS1_1247 -> RDT137  ,10.41   ,2.11   ,28586.98   ,1 ,
P1RLV164  ,1 ,0.42  ,5.44    ,1.10   ,RHS1_1247 ,RHS1_1247 -> RDT137  ,13.60   ,2.76   ,37336.27   ,1 ,
P1RLV165  ,1 ,0.42  ,2.45    ,0.50   ,RHS1_1247 ,RHS1_1247 -> RDT137  ,6.12    ,1.24   ,17146.77   ,1 ,
P1RLV166  ,1 ,0.42  ,1.38    ,0.28   ,RHS1_1247 ,RHS1_1247 -> RDT137  ,3.45    ,0.70   ,6894.67    ,1 ,
P1RLV167  ,1 ,0.42  ,1.48    ,0.30   ,RHS1_1247 ,RHS1_1247 -> RDT137  ,3.71    ,0.75   ,11557.33   ,1 ,
P1RLV168  ,1 ,0.42  ,3.65    ,0.74   ,RHS1_1247 ,RHS1_1247 -> RDT137  ,9.13    ,1.85   ,25075.20   ,1 ,
